,month,peak,gain,% gain
30,2023-04-01,1834545.0,0.0,0.0
29,2023-05-01,1813911.0,-20634.0,-1.1
28,2023-06-01,2126246.0,312335.0,17.2
27,2023-07-01,1811203.0,-315043.0,-14.8
26,2023-08-01,2817867.0,1006664.0,55.6
25,2023-09-01,2336901.0,-480966.0,-17.1
24,2023-10-01,2342751.0,5850.0,0.3
23,2023-11-01,6172463.0,3829712.0,163.5
22,2023-12-01,11616374.0,5443911.0,88.2
21,2024-01-01,4873898.0,-6742476.0,-58.0
20,2024-02-01,4469098.0,-404800.0,-8.3
19,2024-03-01,5152863.0,683765.0,15.3
18,2024-04-01,2861907.0,-2290956.0,-44.5
17,2024-05-01,2475044.0,-386863.0,-13.5
16,2024-06-01,2128213.0,-346831.0,-14.0
15,2024-07-01,2882945.0,754732.0,35.5
14,2024-08-01,3235781.0,352836.0,12.2
13,2024-09-01,2671278.0,-564503.0,-17.4
12,2024-10-01,9846962.0,7175684.0,268.6
11,2024-11-01,14343880.0,4496918.0,45.7
10,2024-12-01,4152336.0,-10191544.0,-71.1
9,2025-01-01,3652571.0,-499765.0,-12.0
8,2025-02-01,4109301.0,456730.0,12.5
7,2025-03-01,2757129.0,-1352172.0,-32.9
6,2025-04-01,2132493.0,-624636.0,-22.7
5,2025-05-01,2356174.0,223681.0,10.5
4,2025-06-01,5948454.0,3592280.0,152.5
3,2025-07-01,2396423.0,-3552031.0,-59.7
2,2025-08-01,3984350.0,1587927.0,66.3
1,2025-09-01,1670489.0,-2313861.0,-58.1
