Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"14,009","-4,711",-25.20%,-,-
Aug-25,"18,720","3,873",26.10%,-,-
Jul-25,"14,847",-572,-3.70%,-,-
Jun-25,"15,419","-6,380",-29.30%,-,-
May-25,"21,799","1,669",8.30%,-,-
Apr-25,"20,130","-10,263",-33.80%,-,-
Mar-25,"30,393","-7,962",-20.80%,-,-
Feb-25,"38,355","9,057",30.90%,-,-
Jan-25,"29,298","11,534",64.90%,-,-
Dec-24,"17,764",-396,-2.20%,-,-
Nov-24,"18,160","2,362",15.00%,-,-
Oct-24,"15,798","-3,284",-17.20%,-,-
Sep-24,"19,082","-2,109",-10.00%,-,-
Aug-24,"21,191","-1,948",-8.40%,-,-
Jul-24,"23,139",178,0.80%,-,-
Jun-24,"22,961","4,486",24.30%,-,-
May-24,"18,475","1,279",7.40%,-,-
Apr-24,"17,196","-2,408",-12.30%,-,-
Mar-24,"19,604","-3,469",-15.00%,-,-
Feb-24,"23,073",391,1.70%,-,-
Jan-24,"22,682","-9,303",-29.10%,-,-
Dec-23,"31,985","-6,204",-16.20%,-,-
Nov-23,"38,189","16,976",80.00%,-,-
Oct-23,"21,213","8,223",63.30%,-,-
Sep-23,"12,990","-1,086",-7.70%,-,-
Aug-23,"14,076",-202,-1.40%,-,-
Jul-23,"14,278",137,1.00%,-,-
Jun-23,"14,141",-954,-6.30%,-,-
May-23,"15,095","-1,897",-11.20%,-,-
Apr-23,"16,992",898,5.60%,-,-
Mar-23,"16,094","-2,117",-11.60%,-,-
Feb-23,"18,211","-5,834",-24.30%,-,-
Jan-23,"24,045","-10,058",-29.50%,-,-
Dec-22,"34,103","-19,611",-36.50%,-,-
Nov-22,"53,714","40,505",306.60%,-,-
Oct-22,"13,209","-2,379",-15.30%,-,-
Sep-22,"15,588","4,630",42.30%,-,-
Aug-22,"10,958",-567,-4.90%,-,-
Jul-22,"11,525","2,644",29.80%,-,-
Jun-22,"8,881","-1,595",-15.20%,-,-
May-22,"10,476",-196,-1.80%,-,-
Apr-22,"10,672",-898,-7.80%,-,-
Mar-22,"11,570",-838,-6.80%,-,-
Feb-22,"12,408","1,041",9.20%,-,-
Jan-22,"11,367","1,097",10.70%,-,-
Dec-21,"10,270","-1,760",-14.60%,-,-
Nov-21,"12,030","-13,850",-53.50%,-,-
Oct-21,"25,880","10,801",71.60%,-,-
Sep-21,"15,079","-25,695",-63.00%,-,-
Aug-21,"40,774","-2,548",-5.90%,-,-
Jul-21,"43,322","28,418",190.70%,-,-
Jun-21,"14,904","8,057",117.70%,-,-
May-21,"6,847","-4,284",-38.50%,-,-
Apr-21,"11,131","2,240",25.20%,-,-
Mar-21,"8,891","-5,332",-37.50%,-,-
Feb-21,"14,223","7,321",106.10%,-,-
Jan-21,"6,902",-9,-0.10%,-,-
Dec-20,"6,911",-291,-4.00%,-,-
Nov-20,"7,202","3,533",96.30%,-,-
Oct-20,"3,669","2,066",128.90%,-,-
Sep-20,"1,603","-1,922",-54.50%,-,-
Aug-20,"3,525","2,286",184.50%,-,-
Jul-20,"1,239",-407,-24.70%,-,-
Jun-20,"1,646",-,-,-,-
