Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"6,765",-693,-9.30%,-,-
Aug-25,"7,458",231,3.20%,-,-
Jul-25,"7,227",387,5.70%,-,-
Jun-25,"6,840",-222,-3.10%,-,-
May-25,"7,062",602,9.30%,-,-
Apr-25,"6,460",-406,-5.90%,-,-
Mar-25,"6,866",-28,-0.40%,-,-
Feb-25,"6,894",392,6.00%,-,-
Jan-25,"6,502",-175,-2.60%,-,-
Dec-24,"6,677","1,046",18.60%,-,-
Nov-24,"5,631","-2,346",-29.40%,-,-
Oct-24,"7,977","-3,421",-30.00%,-,-
Sep-24,"11,398","-2,343",-17.10%,-,-
Aug-24,"13,741","2,362",20.80%,-,-
Jul-24,"11,379","-1,648",-12.70%,-,-
Jun-24,"13,027","1,712",15.10%,-,-
May-24,"11,315","-1,218",-9.70%,-,-
Apr-24,"12,533","2,821",29.00%,-,-
Mar-24,"9,712",889,10.10%,-,-
Feb-24,"8,823","1,109",14.40%,-,-
Jan-24,"7,714",-16,-0.20%,-,-
Dec-23,"7,730",-459,-5.60%,-,-
Nov-23,"8,189",-288,-3.40%,-,-
Oct-23,"8,477","-2,786",-24.70%,-,-
Sep-23,"11,263",-810,-6.70%,-,-
Aug-23,"12,073",-141,-1.20%,-,-
Jul-23,"12,214",-70,-0.60%,-,-
Jun-23,"12,284","-1,903",-13.40%,-,-
May-23,"14,187",357,2.60%,-,-
Apr-23,"13,830","-1,809",-11.60%,-,-
Mar-23,"15,639","2,728",21.10%,-,-
Feb-23,"12,911","1,949",17.80%,-,-
Jan-23,"10,962",288,2.70%,-,-
Dec-22,"10,674","2,291",27.30%,-,-
Nov-22,"8,383","2,366",39.30%,-,-
Oct-22,"6,017","-6,082",-50.30%,-,-
Sep-22,"12,099","1,018",9.20%,-,-
Aug-22,"11,081","-1,474",-11.70%,-,-
Jul-22,"12,555",842,7.20%,-,-
Jun-22,"11,713","3,015",34.70%,-,-
May-22,"8,698","-6,059",-41.10%,-,-
Apr-22,"14,757","9,761",195.40%,-,-
Mar-22,"4,996","-3,285",-39.70%,-,-
Feb-22,"8,281","-3,797",-31.40%,-,-
Jan-22,"12,078",-50,-0.40%,-,-
Dec-21,"12,128","6,435",113.00%,-,-
Nov-21,"5,693",911,19.10%,-,-
Oct-21,"4,782","-1,263",-20.90%,-,-
Sep-21,"6,045","-1,752",-22.50%,-,-
Aug-21,"7,797","3,477",80.50%,-,-
Jul-21,"4,320",753,21.10%,-,-
