Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,637,-258,-28.80%,-,-
Aug-25,895,-5,-0.60%,-,-
Jul-25,900,-78,-8.00%,-,-
Jun-25,978,-205,-17.30%,-,-
May-25,"1,183",202,20.60%,-,-
Apr-25,981,56,6.10%,-,-
Mar-25,925,-326,-26.10%,-,-
Feb-25,"1,251",152,13.80%,-,-
Jan-25,"1,099",-149,-11.90%,-,-
Dec-24,"1,248",112,9.90%,-,-
Nov-24,"1,136",-395,-25.80%,-,-
Oct-24,"1,531",-695,-31.20%,-,-
Sep-24,"2,226",-683,-23.50%,-,-
Aug-24,"2,909",587,25.30%,-,-
Jul-24,"2,322",-597,-20.50%,-,-
Jun-24,"2,919",697,31.40%,-,-
May-24,"2,222",-590,-21.00%,-,-
Apr-24,"2,812",904,47.40%,-,-
Mar-24,"1,908",-285,-13.00%,-,-
Feb-24,"2,193",-88,-3.90%,-,-
Jan-24,"2,281",-215,-8.60%,-,-
Dec-23,"2,496",-788,-24.00%,-,-
Nov-23,"3,284","1,280",63.90%,-,-
Oct-23,"2,004","-1,689",-45.70%,-,-
Sep-23,"3,693",472,14.70%,-,-
Aug-23,"3,221",-34,-1.00%,-,-
Jul-23,"3,255",996,44.10%,-,-
Jun-23,"2,259","-1,070",-32.10%,-,-
May-23,"3,329","2,284",218.60%,-,-
Apr-23,"1,045","-1,324",-55.90%,-,-
Mar-23,"2,369",-,-,-,-
