Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,837,-545,-39.40%,-,-
Aug-25,"1,382",234,20.40%,-,-
Jul-25,"1,148",-351,-23.40%,-,-
Jun-25,"1,499",-140,-8.50%,-,-
May-25,"1,639",95,6.20%,-,-
Apr-25,"1,544",129,9.10%,-,-
Mar-25,"1,415",-581,-29.10%,-,-
Feb-25,"1,996",535,36.60%,-,-
Jan-25,"1,461",-48,-3.20%,-,-
Dec-24,"1,509",581,62.60%,-,-
Nov-24,928,-122,-11.60%,-,-
Oct-24,"1,050",-653,-38.30%,-,-
Sep-24,"1,703",-40,-2.30%,-,-
Aug-24,"1,743",87,5.30%,-,-
Jul-24,"1,656",-314,-15.90%,-,-
Jun-24,"1,970",130,7.10%,-,-
May-24,"1,840",-242,-11.60%,-,-
Apr-24,"2,082",228,12.30%,-,-
Mar-24,"1,854",-331,-15.10%,-,-
Feb-24,"2,185",464,27.00%,-,-
Jan-24,"1,721",-668,-28.00%,-,-
Dec-23,"2,389","-1,192",-33.30%,-,-
Nov-23,"3,581","2,065",136.20%,-,-
Oct-23,"1,516","-1,679",-52.60%,-,-
Sep-23,"3,195","1,254",64.60%,-,-
Aug-23,"1,941",-467,-19.40%,-,-
Jul-23,"2,408",-257,-9.60%,-,-
Jun-23,"2,665",-318,-10.70%,-,-
May-23,"2,983","2,421",430.80%,-,-
Apr-23,562,-961,-63.10%,-,-
Mar-23,"1,523",-,-,-,-
