,month,peak,gain,% gain
62,2020-06-01,8382.0,-3681.0,-22.7
63,2020-07-01,7746.0,-636.0,-7.6
64,2020-08-01,8607.0,861.0,11.1
65,2020-09-01,8060.0,-547.0,-6.4
66,2020-10-01,13277.0,5217.0,64.7
67,2020-11-01,9731.0,-3546.0,-26.7
68,2020-12-01,7714.0,-2017.0,-20.7
69,2021-01-01,7771.0,57.0,0.7
70,2021-02-01,10669.0,2898.0,37.3
71,2021-03-01,6652.0,-4017.0,-37.7
72,2021-04-01,9568.0,2916.0,43.8
73,2021-05-01,10912.0,1344.0,14.0
74,2021-06-01,15911.0,4999.0,45.8
75,2021-07-01,14972.0,-939.0,-5.9
76,2021-08-01,20939.0,5967.0,39.9
77,2021-09-01,12435.0,-8504.0,-40.6
78,2021-10-01,18049.0,5614.0,45.1
79,2021-11-01,11001.0,-7048.0,-39.0
80,2021-12-01,16244.0,5243.0,47.7
81,2022-01-01,16343.0,99.0,0.6
82,2022-02-01,12244.0,-4099.0,-25.1
83,2022-03-01,9137.0,-3107.0,-25.4
84,2022-04-01,20039.0,10902.0,119.3
85,2022-05-01,12484.0,-7555.0,-37.7
86,2022-06-01,15295.0,2811.0,22.5
87,2022-07-01,17125.0,1830.0,12.0
88,2022-08-01,15407.0,-1718.0,-10.0
89,2022-09-01,16865.0,1458.0,9.5
90,2022-10-01,272848.0,-7191.0,1517.8
91,2022-11-01,505463.0,232615.0,85.3
92,2022-12-01,325849.0,-179614.0,-35.5
93,2023-01-01,183390.0,-142459.0,-43.7
94,2023-02-01,186641.0,3251.0,1.8
95,2023-03-01,182393.0,-8776.0,-2.3
96,2023-04-01,166313.0,-16080.0,-8.8
97,2023-05-01,127198.0,-39115.0,-23.5
98,2023-06-01,134146.0,6948.0,5.5
99,2023-07-01,107917.0,-26229.0,-19.6
100,2023-08-01,133255.0,25338.0,23.5
101,2023-09-01,110585.0,-22670.0,-17.0
102,2023-10-01,205563.0,94978.0,85.9
103,2023-11-01,210666.0,5103.0,2.5
104,2023-12-01,179080.0,-31586.0,-15.0
105,2024-01-01,160542.0,-18538.0,-10.4
106,2024-02-01,172798.0,12256.0,7.6
107,2024-03-01,137004.0,-35794.0,-20.7
108,2024-04-01,188017.0,51013.0,37.2
109,2024-05-01,149306.0,-38711.0,-20.6
110,2024-06-01,156375.0,7069.0,4.7
111,2024-07-01,125764.0,-30611.0,-19.6
112,2024-08-01,176603.0,50839.0,40.4
113,2024-09-01,176811.0,208.0,0.1
114,2024-10-01,320283.0,143472.0,81.1
115,2024-11-01,327159.0,6876.0,2.1
116,2024-12-01,184103.0,-143056.0,-43.7
117,2025-01-01,126148.0,-57955.0,-31.5
118,2025-02-01,119583.0,-6565.0,-5.2
119,2025-03-01,91453.0,-28130.0,-23.5
120,2025-04-01,152660.0,61207.0,66.9
121,2025-05-01,128330.0,-24330.0,-15.9
122,2025-06-01,106348.0,-21982.0,-17.1
123,2025-07-01,105203.0,-1145.0,-1.1
124,2025-08-01,88789.0,-16414.0,-15.6
