,month,peak,gain,average
63,2020-06-01,1213.0,0.0,0.0
62,2020-07-01,1112.0,101.0,0.0
61,2020-08-01,3266.0,2154.0,0.0
60,2020-09-01,1119.0,2147.0,0.0
59,2020-10-01,5881.0,4762.0,0.0
58,2020-11-01,2272.0,3609.0,0.0
57,2020-12-01,3123.0,851.0,0.0
56,2021-01-01,3382.0,259.0,0.0
55,2021-02-01,4534.0,1152.0,0.0
54,2021-03-01,2788.0,1746.0,0.0
53,2021-04-01,5669.0,2881.0,0.0
52,2021-05-01,3420.0,2249.0,0.0
51,2021-06-01,11801.0,8381.0,0.0
50,2021-07-01,10139.0,1662.0,0.0
49,2021-08-01,12329.0,2190.0,0.0
48,2021-09-01,5556.0,6773.0,0.0
47,2021-10-01,12425.0,6869.0,0.0
46,2021-11-01,4463.0,7962.0,0.0
45,2021-12-01,2993.0,1470.0,0.0
44,2022-01-01,3153.0,160.0,0.0
43,2022-02-01,3143.0,10.0,0.0
42,2022-03-01,3450.0,307.0,0.0
41,2022-04-01,2903.0,547.0,0.0
40,2022-05-01,3062.0,159.0,0.0
39,2022-06-01,2392.0,670.0,0.0
38,2022-07-01,3236.0,844.0,0.0
37,2022-08-01,2802.0,434.0,0.0
36,2022-09-01,3200.0,398.0,0.0
35,2022-10-01,2861.0,339.0,0.0
34,2022-11-01,4016.0,1155.0,0.0
33,2022-12-01,3888.0,128.0,0.0
32,2023-01-01,3899.0,11.0,0.0
31,2023-02-01,2958.0,941.0,0.0
30,2023-03-01,2213.0,745.0,0.0
29,2023-04-01,2497.0,284.0,0.0
28,2023-05-01,2416.0,81.0,0.0
27,2023-06-01,2035.0,381.0,0.0
26,2023-07-01,2083.0,48.0,0.0
25,2023-08-01,2168.0,85.0,0.0
24,2023-09-01,1560.0,608.0,0.0
23,2023-10-01,2838.0,1278.0,0.0
22,2023-11-01,3044.0,206.0,0.0
21,2023-12-01,2786.0,258.0,0.0
20,2024-01-01,2621.0,165.0,0.0
19,2024-02-01,3551.0,930.0,0.0
18,2024-03-01,2794.0,757.0,0.0
17,2024-04-01,1981.0,813.0,0.0
16,2024-05-01,2489.0,508.0,0.0
15,2024-06-01,2595.0,106.0,0.0
14,2024-07-01,3179.0,584.0,0.0
13,2024-08-01,2460.0,719.0,0.0
12,2024-09-01,2283.0,177.0,0.0
11,2024-10-01,2234.0,49.0,0.0
10,2024-11-01,3289.0,1055.0,0.0
9,2024-12-01,3048.0,241.0,0.0
8,2025-01-01,4037.0,989.0,0.0
7,2025-02-01,5671.0,1634.0,0.0
6,2025-03-01,4571.0,1100.0,0.0
5,2025-04-01,2714.0,1857.0,0.0
4,2025-05-01,4125.0,1411.0,0.0
3,2025-06-01,3503.0,622.0,0.0
2,2025-07-01,4306.0,803.0,0.0
1,2025-08-01,7465.0,3159.0,0.0
