,month,peak,gain,average
0,2020-06-01,5172.0,0.0,0.0
1,2020-07-01,4696.0,876.0,0.0
2,2020-08-01,16020.0,11324.0,0.0
3,2020-09-01,7273.0,8747.0,0.0
4,2020-10-01,15854.0,8581.0,0.0
5,2020-11-01,16753.0,8199.0,0.0
6,2020-12-01,17240.0,1257.0,0.0
7,2021-01-01,17685.0,463.0,0.0
8,2021-02-01,37799.0,20114.0,0.0
9,2021-03-01,24348.0,13451.0,0.0
10,2021-04-01,39782.0,15462.0,0.0
11,2021-05-01,24379.0,15403.0,0.0
12,2021-06-01,55194.0,30815.0,0.0
13,2021-07-01,84445.0,32633.0,0.0
14,2021-08-01,129643.0,50332.0,0.0
15,2021-09-01,110502.0,45857.0,0.0
16,2021-10-01,125347.0,20495.0,0.0
17,2021-11-01,166754.0,63990.0,0.0
18,2021-12-01,89603.0,77197.0,0.0
19,2022-01-01,58521.0,33608.0,0.0
20,2022-02-01,54568.0,19475.0,0.0
21,2022-03-01,49881.0,5301.0,0.0
22,2022-04-01,45760.0,6607.0,0.0
23,2022-05-01,36054.0,10076.0,0.0
24,2022-06-01,45918.0,14440.0,0.0
25,2022-07-01,42827.0,10677.0,0.0
26,2022-08-01,50501.0,10120.0,0.0
27,2022-09-01,56221.0,13856.0,0.0
28,2022-10-01,48122.0,8099.0,0.0
29,2022-11-01,135995.0,87873.0,0.0
30,2022-12-01,129950.0,42895.0,0.0
31,2023-01-01,85377.0,44595.0,0.0
32,2023-02-01,76714.0,14799.0,0.0
33,2023-03-01,68891.0,19207.0,0.0
34,2023-04-01,61209.0,10080.0,0.0
35,2023-05-01,57394.0,4705.0,0.0
36,2023-06-01,56705.0,6289.0,0.0
37,2023-07-01,49899.0,7184.0,0.0
38,2023-08-01,47983.0,2776.0,0.0
39,2023-09-01,44710.0,3273.0,0.0
40,2023-10-01,165411.0,120701.0,0.0
41,2023-11-01,212581.0,151634.0,0.0
42,2023-12-01,184128.0,28453.0,0.0
43,2024-01-01,120407.0,63721.0,0.0
44,2024-02-01,110298.0,12927.0,0.0
45,2024-03-01,119930.0,36234.0,0.0
46,2024-04-01,82059.0,37871.0,0.0
47,2024-05-01,73884.0,11849.0,0.0
48,2024-06-01,94969.0,21093.0,0.0
49,2024-07-01,100692.0,5723.0,0.0
50,2024-08-01,83865.0,16827.0,0.0
51,2024-09-01,76216.0,7649.0,0.0
52,2024-10-01,76675.0,26967.0,0.0
53,2024-11-01,93875.0,17200.0,0.0
54,2024-12-01,74582.0,19293.0,0.0
55,2025-01-01,76175.0,23501.0,0.0
56,2025-02-01,89933.0,17638.0,0.0
57,2025-03-01,81088.0,18331.0,0.0
58,2025-04-01,52747.0,28341.0,0.0
59,2025-05-01,59146.0,6399.0,0.0
60,2025-06-01,45532.0,13614.0,0.0
61,2025-07-01,44634.0,2654.0,0.0
62,2025-08-01,121175.0,76543.0,0.0
