,month,peak,gain,average
63,2020-06-01,279.0,0.0,0.0
62,2020-07-01,111.0,168.0,0.0
61,2020-08-01,149.0,38.0,0.0
60,2020-09-01,77.0,72.0,0.0
59,2020-10-01,106.0,29.0,0.0
58,2020-11-01,65.0,41.0,0.0
57,2020-12-01,86.0,21.0,0.0
56,2021-01-01,160.0,74.0,0.0
55,2021-02-01,161.0,1.0,0.0
54,2021-03-01,106.0,55.0,0.0
53,2021-04-01,92.0,14.0,0.0
52,2021-05-01,56.0,36.0,0.0
51,2021-06-01,132.0,76.0,0.0
50,2021-07-01,103.0,29.0,0.0
49,2021-08-01,84.0,19.0,0.0
48,2021-09-01,53.0,31.0,0.0
47,2021-10-01,44.0,9.0,0.0
46,2021-11-01,34.0,10.0,0.0
45,2021-12-01,57.0,23.0,0.0
44,2022-01-01,63.0,6.0,0.0
43,2022-02-01,58.0,5.0,0.0
42,2022-03-01,52.0,6.0,0.0
41,2022-04-01,39.0,13.0,0.0
40,2022-05-01,65.0,26.0,0.0
39,2022-06-01,42.0,23.0,0.0
38,2022-07-01,81.0,39.0,0.0
37,2022-08-01,61.0,20.0,0.0
36,2022-09-01,56.0,5.0,0.0
35,2022-10-01,36.0,20.0,0.0
34,2022-11-01,54.0,18.0,0.0
33,2022-12-01,53.0,1.0,0.0
32,2023-01-01,50.0,3.0,0.0
31,2023-02-01,37.0,13.0,0.0
30,2023-03-01,46.0,9.0,0.0
29,2023-04-01,63.0,17.0,0.0
28,2023-05-01,66.0,3.0,0.0
27,2023-06-01,43.0,23.0,0.0
26,2023-07-01,47.0,4.0,0.0
25,2023-08-01,55.0,8.0,0.0
24,2023-09-01,28.0,27.0,0.0
23,2023-10-01,100.0,72.0,0.0
22,2023-11-01,84.0,16.0,0.0
21,2023-12-01,58.0,26.0,0.0
20,2024-01-01,56.0,2.0,0.0
19,2024-02-01,144.0,88.0,0.0
18,2024-03-01,103.0,41.0,0.0
17,2024-04-01,50.0,53.0,0.0
16,2024-05-01,100.0,50.0,0.0
15,2024-06-01,96.0,4.0,0.0
14,2024-07-01,110.0,14.0,0.0
13,2024-08-01,81.0,29.0,0.0
12,2024-09-01,63.0,18.0,0.0
11,2024-10-01,73.0,10.0,0.0
10,2024-11-01,98.0,25.0,0.0
9,2024-12-01,84.0,14.0,0.0
8,2025-01-01,108.0,24.0,0.0
7,2025-02-01,160.0,52.0,0.0
6,2025-03-01,264.0,104.0,0.0
5,2025-04-01,112.0,152.0,0.0
4,2025-05-01,292.0,180.0,0.0
3,2025-06-01,212.0,80.0,0.0
2,2025-07-01,180.0,32.0,0.0
1,2025-08-01,179.0,1.0,0.0
