,month,peak,gain,average
63,2020-06-01,2034.0,0.0,0.0
62,2020-07-01,2234.0,200.0,0.0
61,2020-08-01,9080.0,6846.0,0.0
60,2020-09-01,4474.0,4606.0,0.0
59,2020-10-01,6198.0,1724.0,0.0
58,2020-11-01,7214.0,1016.0,0.0
57,2020-12-01,7120.0,94.0,0.0
56,2021-01-01,7241.0,121.0,0.0
55,2021-02-01,18881.0,11640.0,0.0
54,2021-03-01,12563.0,6318.0,0.0
53,2021-04-01,22890.0,10327.0,0.0
52,2021-05-01,14056.0,8834.0,0.0
51,2021-06-01,28357.0,14301.0,0.0
50,2021-07-01,30881.0,2524.0,0.0
49,2021-08-01,76456.0,45575.0,0.0
48,2021-09-01,89814.0,13358.0,0.0
47,2021-10-01,86998.0,2816.0,0.0
46,2021-11-01,44830.0,42168.0,0.0
45,2021-12-01,28400.0,16430.0,0.0
44,2022-01-01,26573.0,1827.0,0.0
43,2022-02-01,33293.0,6720.0,0.0
42,2022-03-01,31487.0,1806.0,0.0
41,2022-04-01,27581.0,3906.0,0.0
40,2022-05-01,19281.0,8300.0,0.0
39,2022-06-01,19552.0,271.0,0.0
38,2022-07-01,19818.0,266.0,0.0
37,2022-08-01,19616.0,202.0,0.0
36,2022-09-01,24376.0,4760.0,0.0
35,2022-10-01,20892.0,3484.0,0.0
34,2022-11-01,59786.0,38894.0,0.0
33,2022-12-01,55056.0,4730.0,0.0
32,2023-01-01,41587.0,13469.0,0.0
31,2023-02-01,36644.0,4943.0,0.0
30,2023-03-01,25991.0,10653.0,0.0
29,2023-04-01,23074.0,2917.0,0.0
28,2023-05-01,20792.0,2282.0,0.0
27,2023-06-01,18661.0,2131.0,0.0
26,2023-07-01,18183.0,478.0,0.0
25,2023-08-01,18520.0,337.0,0.0
24,2023-09-01,18258.0,262.0,0.0
23,2023-10-01,33884.0,15626.0,0.0
22,2023-11-01,116104.0,82220.0,0.0
21,2023-12-01,100436.0,15668.0,0.0
20,2024-01-01,69779.0,30657.0,0.0
19,2024-02-01,62922.0,6857.0,0.0
18,2024-03-01,53888.0,9034.0,0.0
17,2024-04-01,36387.0,17501.0,0.0
16,2024-05-01,30662.0,5725.0,0.0
15,2024-06-01,45227.0,14565.0,0.0
14,2024-07-01,46826.0,1599.0,0.0
13,2024-08-01,41479.0,5347.0,0.0
12,2024-09-01,39304.0,2175.0,0.0
11,2024-10-01,29383.0,9921.0,0.0
10,2024-11-01,37519.0,8136.0,0.0
9,2024-12-01,35931.0,1588.0,0.0
8,2025-01-01,28114.0,7817.0,0.0
7,2025-02-01,33069.0,4955.0,0.0
6,2025-03-01,28543.0,4526.0,0.0
5,2025-04-01,18821.0,9722.0,0.0
4,2025-05-01,20369.0,1548.0,0.0
3,2025-06-01,16235.0,4134.0,0.0
2,2025-07-01,15063.0,1172.0,0.0
1,2025-08-01,20220.0,5157.0,0.0
