,month,peak,gain,average
24,2023-09-01,1560435.0,20931.0,975918.0
23,2023-10-01,1392488.0,167947.0,786087.0
22,2023-11-01,1163388.0,229100.0,713452.0
21,2023-12-01,1255172.0,91784.0,774082.0
20,2024-01-01,1312422.0,57250.0,755717.0
19,2024-02-01,1403250.0,90828.0,796735.0
18,2024-03-01,1525069.0,121819.0,889929.0
17,2024-04-01,1618685.0,93616.0,934226.0
16,2024-05-01,1631616.0,12931.0,958651.0
15,2024-06-01,1525896.0,105720.0,940002.0
14,2024-07-01,1347502.0,178394.0,876480.0
13,2024-08-01,1426478.0,78976.0,898004.0
12,2024-09-01,1482529.0,56051.0,831476.0
11,2024-10-01,1498661.0,16132.0,829556.0
10,2024-11-01,1562206.0,63545.0,855994.0
9,2024-12-01,1740261.0,178055.0,913332.0
8,2025-01-01,1604641.0,135620.0,917201.0
7,2025-02-01,1789374.0,184733.0,1008724.0
6,2025-03-01,1824989.0,35615.0,1041505.0
5,2025-04-01,1862531.0,37542.0,1051917.0
4,2025-05-01,1722301.0,140230.0,1042847.0
3,2025-06-01,1732079.0,9778.0,1009510.0
2,2025-07-01,1433826.0,298253.0,922445.0
1,2025-08-01,1505419.0,71593.0,935289.0
