,month,peak,gain,average
241,2004-01-01,23241.0,0.0,0.0
240,2004-02-01,39709.0,16468.0,0.0
239,2004-04-01,74926.0,35217.0,0.0
238,2004-06-01,66876.0,8050.0,0.0
237,2004-07-01,69685.0,2809.0,0.0
236,2004-08-01,92049.0,22364.0,0.0
235,2004-09-01,96451.0,4402.0,0.0
234,2004-10-01,79947.0,16504.0,0.0
233,2004-11-01,77819.0,2128.0,0.0
232,2004-12-01,117157.0,39338.0,0.0
231,2005-01-01,79165.0,37992.0,0.0
230,2005-02-01,87036.0,7871.0,0.0
229,2005-03-01,103492.0,16456.0,0.0
228,2005-04-01,87284.0,16208.0,0.0
227,2005-05-01,105295.0,18011.0,0.0
226,2005-06-01,80012.0,25283.0,0.0
225,2005-07-01,110858.0,30846.0,0.0
224,2005-08-01,132066.0,21208.0,0.0
223,2005-09-01,118588.0,13478.0,0.0
222,2005-11-01,95543.0,23045.0,0.0
221,2005-12-01,126053.0,30510.0,0.0
220,2006-08-01,132876.0,6823.0,0.0
219,2006-11-01,107770.0,25106.0,0.0
218,2006-12-01,109100.0,1330.0,0.0
217,2007-01-01,134820.0,25720.0,0.0
216,2007-02-01,188125.0,53305.0,0.0
215,2007-03-01,174450.0,13675.0,0.0
214,2007-04-01,78735.0,95715.0,0.0
213,2007-05-01,184843.0,106108.0,0.0
212,2007-06-01,232534.0,47691.0,0.0
211,2007-07-01,241132.0,8598.0,0.0
210,2007-08-01,202644.0,38488.0,0.0
209,2007-09-01,283680.0,81036.0,0.0
208,2007-10-01,223730.0,59950.0,0.0
207,2007-11-01,259403.0,35673.0,0.0
206,2007-12-01,319586.0,60183.0,0.0
205,2008-01-01,225274.0,94312.0,0.0
204,2008-09-01,73041.0,152233.0,0.0
203,2008-10-01,76504.0,3463.0,0.0
202,2008-11-01,47245.0,29259.0,0.0
201,2008-12-01,54865.0,7620.0,0.0
200,2009-01-01,48405.0,6460.0,0.0
199,2009-02-01,75123.0,26718.0,0.0
198,2009-03-01,75463.0,340.0,0.0
197,2009-04-01,49447.0,26016.0,0.0
196,2009-05-01,60245.0,10798.0,0.0
195,2009-06-01,64574.0,4329.0,0.0
194,2009-07-01,49131.0,15443.0,0.0
193,2009-08-01,62056.0,12925.0,0.0
192,2009-09-01,58498.0,3558.0,0.0
191,2009-10-01,63832.0,5334.0,0.0
190,2009-11-01,40578.0,23254.0,0.0
189,2009-12-01,69325.0,28747.0,0.0
188,2010-01-01,73033.0,3708.0,0.0
187,2010-02-01,64069.0,8964.0,0.0
186,2010-03-01,75903.0,11834.0,0.0
185,2010-04-01,73232.0,2671.0,0.0
184,2010-05-01,192924.0,119692.0,0.0
183,2010-06-01,63869.0,129055.0,0.0
182,2010-07-01,62730.0,1139.0,0.0
181,2010-08-01,67121.0,4391.0,0.0
180,2010-09-01,70849.0,3728.0,0.0
179,2010-10-01,74285.0,3436.0,0.0
178,2010-11-01,75800.0,1515.0,0.0
177,2010-12-01,76667.0,867.0,0.0
176,2011-01-01,83905.0,7238.0,0.0
175,2011-02-01,83324.0,581.0,0.0
174,2011-03-01,81839.0,1485.0,0.0
173,2011-04-01,74934.0,6905.0,0.0
172,2011-05-01,67370.0,7564.0,0.0
171,2011-06-01,69585.0,2215.0,0.0
170,2011-07-01,60630.0,8955.0,0.0
169,2011-08-01,62959.0,2329.0,0.0
168,2011-09-01,63909.0,950.0,0.0
167,2011-10-01,68660.0,4751.0,0.0
166,2011-11-01,70244.0,1584.0,0.0
165,2011-12-01,72794.0,2550.0,0.0
164,2012-01-01,80089.0,7295.0,0.0
163,2012-02-01,79920.0,169.0,0.0
162,2012-03-01,79911.0,9.0,0.0
161,2012-04-01,72325.0,7586.0,0.0
160,2012-05-01,62542.0,9783.0,0.0
159,2012-06-01,60301.0,2241.0,0.0
158,2012-07-01,54614.0,5687.0,0.0
157,2012-08-01,55321.0,707.0,0.0
156,2012-09-01,56053.0,732.0,0.0
155,2012-10-01,56957.0,904.0,0.0
154,2012-11-01,61189.0,4232.0,0.0
153,2012-12-01,65188.0,3999.0,0.0
152,2013-01-01,65100.0,88.0,0.0
151,2013-02-01,60780.0,4320.0,0.0
150,2013-03-01,49482.0,11298.0,0.0
149,2013-04-01,44392.0,5090.0,0.0
148,2013-05-01,36982.0,7410.0,0.0
147,2013-06-01,35490.0,1492.0,0.0
146,2013-07-01,34230.0,1260.0,0.0
145,2013-08-01,36983.0,2753.0,0.0
144,2013-09-01,37439.0,456.0,0.0
143,2013-10-01,39826.0,2387.0,0.0
142,2013-11-01,40743.0,917.0,0.0
141,2013-12-01,44491.0,3748.0,0.0
140,2014-01-01,44712.0,221.0,0.0
139,2014-02-01,41963.0,2749.0,0.0
138,2014-03-01,39619.0,2344.0,0.0
137,2014-04-01,35926.0,3693.0,0.0
136,2014-05-01,33969.0,1957.0,0.0
135,2014-06-01,31806.0,2163.0,0.0
134,2014-07-01,29564.0,2242.0,0.0
133,2014-08-01,30379.0,815.0,0.0
132,2014-09-01,31690.0,1311.0,0.0
131,2014-10-01,33495.0,1805.0,0.0
130,2014-11-01,36393.0,2898.0,0.0
129,2014-12-01,37018.0,625.0,0.0
128,2015-01-01,37107.0,89.0,0.0
127,2015-02-01,34271.0,2836.0,0.0
126,2015-03-01,30333.0,3938.0,0.0
125,2015-04-01,28286.0,2047.0,0.0
124,2015-05-01,26465.0,1821.0,0.0
123,2015-06-01,24200.0,2265.0,0.0
122,2015-07-01,23623.0,577.0,0.0
121,2015-08-01,22650.0,973.0,0.0
120,2015-09-01,23130.0,480.0,0.0
119,2015-10-01,24278.0,1148.0,0.0
118,2015-11-01,26133.0,1855.0,0.0
117,2015-12-01,27821.0,1688.0,0.0
116,2016-01-01,29670.0,1849.0,0.0
115,2016-02-01,29617.0,53.0,0.0
114,2016-03-01,28136.0,1481.0,0.0
113,2016-04-01,24994.0,3142.0,0.0
112,2016-05-01,22998.0,1996.0,0.0
111,2016-06-01,22585.0,413.0,0.0
110,2016-07-01,21136.0,1449.0,0.0
109,2016-08-01,21491.0,355.0,0.0
108,2016-09-01,21984.0,493.0,0.0
107,2016-10-01,23413.0,1429.0,0.0
106,2016-11-01,24792.0,1379.0,0.0
105,2016-12-01,26909.0,2117.0,0.0
104,2017-01-01,29543.0,2634.0,0.0
103,2017-02-01,28071.0,1472.0,0.0
102,2017-03-01,26504.0,1567.0,0.0
101,2017-04-01,22731.0,3773.0,0.0
100,2017-05-01,22099.0,632.0,0.0
99,2017-06-01,20312.0,1787.0,0.0
98,2017-07-01,20372.0,60.0,0.0
97,2017-08-01,18465.0,1907.0,0.0
