,month,peak,gain,average
239,2004-04-01,9256.0,0.0,0.0
238,2004-06-01,14032.0,4776.0,0.0
237,2004-07-01,15119.0,1087.0,0.0
236,2004-08-01,14280.0,839.0,0.0
235,2004-09-01,15762.0,1482.0,0.0
234,2004-10-01,15076.0,686.0,0.0
233,2004-11-01,15216.0,140.0,0.0
232,2004-12-01,18107.0,2891.0,0.0
231,2005-01-01,15692.0,2415.0,0.0
230,2005-02-01,16502.0,810.0,0.0
229,2005-03-01,17489.0,987.0,0.0
228,2005-04-01,13288.0,4201.0,0.0
227,2005-05-01,19239.0,5951.0,0.0
226,2005-06-01,12053.0,7186.0,0.0
225,2005-07-01,18654.0,6601.0,0.0
224,2005-08-01,22438.0,3784.0,0.0
223,2005-09-01,19041.0,3397.0,0.0
222,2005-11-01,14824.0,4217.0,0.0
221,2005-12-01,21242.0,6418.0,0.0
220,2006-08-01,21153.0,89.0,0.0
219,2006-11-01,15203.0,5950.0,0.0
218,2006-12-01,17896.0,2693.0,0.0
217,2007-01-01,21851.0,3955.0,0.0
216,2007-02-01,23807.0,1956.0,0.0
215,2007-03-01,19939.0,3868.0,0.0
214,2007-04-01,11923.0,8016.0,0.0
213,2007-05-01,24988.0,13065.0,0.0
212,2007-06-01,27256.0,2268.0,0.0
211,2007-07-01,28546.0,1290.0,0.0
210,2007-08-01,27545.0,1001.0,0.0
209,2007-09-01,32748.0,5203.0,0.0
208,2007-10-01,28221.0,4527.0,0.0
207,2007-11-01,21806.0,6415.0,0.0
206,2007-12-01,32279.0,10473.0,0.0
205,2008-01-01,28140.0,4139.0,0.0
204,2008-09-01,11694.0,16446.0,0.0
203,2008-10-01,12860.0,1166.0,0.0
202,2008-11-01,7328.0,5532.0,0.0
201,2008-12-01,7570.0,242.0,0.0
200,2009-01-01,5893.0,1677.0,0.0
199,2009-02-01,9384.0,3491.0,0.0
198,2009-03-01,9018.0,366.0,0.0
197,2009-04-01,5413.0,3605.0,0.0
196,2009-05-01,7336.0,1923.0,0.0
195,2009-06-01,7932.0,596.0,0.0
194,2009-07-01,7964.0,32.0,0.0
193,2009-08-01,9266.0,1302.0,0.0
192,2009-09-01,8634.0,632.0,0.0
191,2009-10-01,9128.0,494.0,0.0
190,2009-11-01,4990.0,4138.0,0.0
189,2009-12-01,8983.0,3993.0,0.0
188,2010-01-01,8927.0,56.0,0.0
187,2010-02-01,8003.0,924.0,0.0
186,2010-03-01,9060.0,1057.0,0.0
185,2010-04-01,8484.0,576.0,0.0
184,2010-05-01,7677.0,807.0,0.0
183,2010-06-01,7424.0,253.0,0.0
182,2010-07-01,6910.0,514.0,0.0
181,2010-08-01,7081.0,171.0,0.0
180,2010-09-01,7428.0,347.0,0.0
179,2010-10-01,7379.0,49.0,0.0
178,2010-11-01,7539.0,160.0,0.0
177,2010-12-01,7505.0,34.0,0.0
176,2011-01-01,7354.0,151.0,0.0
175,2011-02-01,7171.0,183.0,0.0
174,2011-03-01,6715.0,456.0,0.0
173,2011-04-01,6133.0,582.0,0.0
172,2011-05-01,6128.0,5.0,0.0
171,2011-06-01,5542.0,586.0,0.0
170,2011-07-01,5180.0,362.0,0.0
169,2011-08-01,5051.0,129.0,0.0
168,2011-09-01,5083.0,32.0,0.0
167,2011-10-01,4979.0,104.0,0.0
166,2011-11-01,5031.0,52.0,0.0
165,2011-12-01,4915.0,116.0,0.0
164,2012-01-01,4929.0,14.0,0.0
163,2012-02-01,4878.0,51.0,0.0
162,2012-03-01,4530.0,348.0,0.0
161,2012-04-01,4394.0,136.0,0.0
160,2012-05-01,4180.0,214.0,0.0
159,2012-06-01,3879.0,301.0,0.0
158,2012-07-01,3530.0,349.0,0.0
157,2012-08-01,3229.0,301.0,0.0
156,2012-09-01,3184.0,45.0,0.0
155,2012-10-01,3183.0,1.0,0.0
154,2012-11-01,3356.0,173.0,0.0
153,2012-12-01,3357.0,1.0,0.0
152,2013-01-01,3378.0,21.0,0.0
151,2013-02-01,3282.0,96.0,0.0
150,2013-03-01,2888.0,394.0,0.0
149,2013-04-01,2134.0,754.0,0.0
148,2013-05-01,2020.0,114.0,0.0
147,2013-06-01,1957.0,63.0,0.0
146,2013-07-01,1857.0,100.0,0.0
145,2013-08-01,1925.0,68.0,0.0
144,2013-09-01,1995.0,70.0,0.0
143,2013-10-01,2042.0,47.0,0.0
142,2013-11-01,2090.0,48.0,0.0
141,2013-12-01,2074.0,16.0,0.0
140,2014-01-01,2157.0,83.0,0.0
139,2014-02-01,1866.0,291.0,0.0
138,2014-03-01,1764.0,102.0,0.0
137,2014-04-01,1720.0,44.0,0.0
136,2014-05-01,1662.0,58.0,0.0
135,2014-06-01,1565.0,97.0,0.0
134,2014-07-01,1489.0,76.0,0.0
133,2014-08-01,1455.0,34.0,0.0
132,2014-09-01,1525.0,70.0,0.0
131,2014-10-01,1538.0,13.0,0.0
130,2014-11-01,1711.0,173.0,0.0
129,2014-12-01,1767.0,56.0,0.0
128,2015-01-01,1638.0,129.0,0.0
127,2015-02-01,1493.0,145.0,0.0
126,2015-03-01,1448.0,45.0,0.0
125,2015-04-01,1342.0,106.0,0.0
124,2015-05-01,1312.0,30.0,0.0
123,2015-06-01,1282.0,30.0,0.0
122,2015-07-01,1204.0,78.0,0.0
121,2015-08-01,1174.0,30.0,0.0
120,2015-09-01,1207.0,33.0,0.0
119,2015-10-01,1203.0,4.0,0.0
118,2015-11-01,1316.0,113.0,0.0
117,2015-12-01,1394.0,78.0,0.0
116,2016-01-01,1500.0,106.0,0.0
115,2016-02-01,1560.0,60.0,0.0
114,2016-03-01,1383.0,177.0,0.0
113,2016-04-01,1206.0,177.0,0.0
112,2016-05-01,1186.0,20.0,0.0
111,2016-06-01,1196.0,10.0,0.0
110,2016-07-01,1070.0,126.0,0.0
109,2016-08-01,988.0,82.0,0.0
108,2016-09-01,1051.0,63.0,0.0
107,2016-10-01,1124.0,73.0,0.0
106,2016-11-01,1301.0,177.0,0.0
105,2016-12-01,1357.0,56.0,0.0
104,2017-01-01,1387.0,30.0,0.0
103,2017-02-01,1247.0,140.0,0.0
102,2017-03-01,1269.0,22.0,0.0
101,2017-04-01,1078.0,191.0,0.0
100,2017-05-01,1059.0,19.0,0.0
99,2017-06-01,1065.0,6.0,0.0
98,2017-07-01,1090.0,25.0,0.0
97,2017-08-01,1012.0,78.0,0.0
96,2017-09-01,1012.0,0.0,0.0
95,2017-10-01,1044.0,32.0,0.0
94,2017-11-01,1418.0,374.0,0.0
93,2017-12-01,1440.0,22.0,0.0
92,2018-01-01,1394.0,46.0,0.0
91,2018-02-01,1370.0,24.0,0.0
90,2018-03-01,1187.0,183.0,0.0
89,2018-04-01,999.0,188.0,0.0
88,2018-05-01,934.0,65.0,0.0
87,2018-06-01,1062.0,128.0,0.0
86,2018-07-01,985.0,77.0,0.0
85,2018-08-01,858.0,127.0,0.0
84,2018-09-01,840.0,18.0,0.0
83,2018-10-01,860.0,20.0,0.0
82,2018-11-01,1069.0,209.0,0.0
81,2018-12-01,1061.0,8.0,0.0
80,2019-01-01,1013.0,48.0,0.0
79,2019-02-01,969.0,44.0,0.0
78,2019-03-01,905.0,64.0,0.0
77,2019-04-01,845.0,60.0,0.0
76,2019-05-01,811.0,34.0,0.0
75,2019-06-01,793.0,18.0,0.0
74,2019-07-01,767.0,26.0,0.0
73,2019-08-01,681.0,86.0,0.0
72,2019-09-01,696.0,15.0,0.0
71,2019-10-01,709.0,13.0,0.0
70,2019-11-01,746.0,37.0,0.0
69,2019-12-01,819.0,73.0,0.0
68,2020-01-01,791.0,28.0,0.0
67,2020-02-01,729.0,62.0,0.0
66,2020-03-01,1576.0,847.0,0.0
65,2020-04-01,1531.0,45.0,0.0
64,2020-05-01,1358.0,173.0,0.0
63,2020-06-01,929.0,429.0,0.0
62,2020-07-01,921.0,8.0,0.0
61,2020-08-01,740.0,181.0,0.0
60,2020-09-01,694.0,46.0,0.0
59,2020-10-01,726.0,32.0,0.0
58,2020-11-01,844.0,118.0,0.0
57,2020-12-01,908.0,64.0,0.0
56,2021-01-01,947.0,39.0,0.0
55,2021-02-01,852.0,95.0,0.0
54,2021-03-01,806.0,46.0,0.0
53,2021-04-01,776.0,30.0,0.0
52,2021-05-01,752.0,24.0,0.0
51,2021-06-01,683.0,69.0,0.0
50,2021-07-01,649.0,34.0,0.0
49,2021-08-01,583.0,66.0,0.0
48,2021-09-01,582.0,1.0,0.0
47,2021-10-01,587.0,5.0,0.0
46,2021-11-01,640.0,53.0,0.0
45,2021-12-01,686.0,46.0,0.0
44,2022-01-01,697.0,11.0,0.0
43,2022-02-01,677.0,20.0,0.0
42,2022-03-01,613.0,64.0,0.0
41,2022-04-01,584.0,29.0,0.0
40,2022-05-01,524.0,60.0,0.0
39,2022-06-01,542.0,18.0,0.0
38,2022-07-01,525.0,17.0,0.0
37,2022-08-01,491.0,34.0,0.0
36,2022-09-01,495.0,4.0,0.0
35,2022-10-01,527.0,32.0,312.0
34,2022-11-01,735.0,208.0,364.0
33,2022-12-01,718.0,17.0,416.0
32,2023-01-01,719.0,1.0,427.0
31,2023-02-01,635.0,84.0,384.0
30,2023-03-01,708.0,73.0,410.0
29,2023-04-01,668.0,40.0,370.0
28,2023-05-01,556.0,112.0,328.0
27,2023-06-01,648.0,92.0,322.0
26,2023-07-01,621.0,27.0,364.0
25,2023-08-01,521.0,100.0,320.0
24,2023-09-01,630.0,109.0,357.0
23,2023-10-01,601.0,29.0,352.0
22,2023-11-01,578.0,23.0,284.0
21,2023-12-01,638.0,60.0,333.0
20,2024-01-01,617.0,21.0,348.0
19,2024-02-01,566.0,51.0,328.0
18,2024-03-01,606.0,40.0,337.0
17,2024-04-01,540.0,66.0,309.0
16,2024-05-01,505.0,35.0,290.0
15,2024-06-01,584.0,79.0,298.0
14,2024-07-01,599.0,15.0,347.0
13,2024-08-01,535.0,64.0,312.0
12,2024-09-01,552.0,17.0,308.0
11,2024-10-01,591.0,39.0,317.0
10,2024-11-01,637.0,46.0,329.0
9,2024-12-01,747.0,110.0,380.0
8,2025-01-01,673.0,74.0,385.0
7,2025-02-01,642.0,31.0,348.0
6,2025-03-01,644.0,2.0,358.0
5,2025-04-01,616.0,28.0,335.0
4,2025-05-01,580.0,36.0,324.0
3,2025-06-01,559.0,21.0,318.0
2,2025-07-01,588.0,29.0,347.0
1,2025-08-01,557.0,31.0,330.0
