,month,peak,gain,average
164,2011-11-01,680.0,0.0,0.0
163,2012-02-01,204.0,476.0,0.0
162,2012-03-01,1263.0,1059.0,0.0
161,2012-04-01,1899.0,636.0,0.0
160,2012-05-01,2919.0,1020.0,0.0
159,2012-06-01,2732.0,187.0,0.0
158,2012-07-01,52261.0,49529.0,0.0
157,2012-08-01,52596.0,335.0,0.0
156,2012-09-01,36870.0,15726.0,0.0
155,2012-10-01,50533.0,13663.0,0.0
154,2012-11-01,50533.0,0.0,0.0
153,2012-12-01,31359.0,19174.0,0.0
152,2013-01-01,35238.0,3879.0,0.0
151,2013-02-01,35597.0,359.0,0.0
150,2013-03-01,32414.0,3183.0,0.0
149,2013-04-01,53379.0,20965.0,0.0
148,2013-05-01,53381.0,2.0,0.0
147,2013-06-01,42149.0,11232.0,0.0
146,2013-07-01,50511.0,8362.0,0.0
145,2013-08-01,52052.0,1541.0,0.0
144,2013-09-01,53263.0,1211.0,0.0
143,2013-10-01,92279.0,39016.0,0.0
142,2013-11-01,96298.0,4019.0,0.0
141,2013-12-01,102084.0,5786.0,0.0
140,2014-01-01,119764.0,17680.0,0.0
139,2014-02-01,164495.0,44731.0,0.0
138,2014-03-01,164781.0,286.0,0.0
137,2014-04-01,170137.0,5356.0,0.0
136,2014-05-01,173629.0,3492.0,0.0
135,2014-06-01,194016.0,20387.0,0.0
134,2014-07-01,277192.0,83176.0,0.0
133,2014-08-01,275014.0,2178.0,0.0
132,2014-09-01,260613.0,14401.0,0.0
131,2014-10-01,348018.0,87405.0,0.0
130,2014-11-01,367634.0,19616.0,0.0
129,2014-12-01,443188.0,75554.0,0.0
128,2015-01-01,455508.0,12320.0,0.0
127,2015-02-01,595439.0,139931.0,0.0
126,2015-03-01,568556.0,26883.0,0.0
125,2015-04-01,569848.0,1292.0,0.0
124,2015-05-01,681170.0,111322.0,0.0
123,2015-06-01,611284.0,69886.0,0.0
122,2015-07-01,546142.0,65142.0,0.0
121,2015-08-01,819902.0,273760.0,0.0
120,2015-09-01,725939.0,93963.0,0.0
119,2015-10-01,786707.0,60768.0,0.0
118,2015-11-01,691930.0,94777.0,0.0
117,2015-12-01,823694.0,131764.0,0.0
116,2016-01-01,667432.0,156262.0,0.0
115,2016-02-01,738969.0,71537.0,0.0
114,2016-03-01,800869.0,61900.0,0.0
113,2016-04-01,850485.0,49616.0,0.0
112,2016-05-01,638088.0,212397.0,0.0
111,2016-06-01,579110.0,58978.0,0.0
110,2016-07-01,636056.0,56946.0,0.0
109,2016-08-01,599095.0,36961.0,0.0
108,2016-09-01,638360.0,39265.0,0.0
107,2016-10-01,661985.0,23625.0,0.0
106,2016-11-01,627124.0,34861.0,0.0
105,2016-12-01,662460.0,35336.0,0.0
104,2017-01-01,814616.0,152156.0,0.0
103,2017-02-01,744468.0,70148.0,0.0
102,2017-03-01,742356.0,2112.0,0.0
101,2017-04-01,695235.0,47121.0,0.0
100,2017-05-01,697189.0,1954.0,0.0
99,2017-06-01,614621.0,82568.0,0.0
98,2017-07-01,640277.0,25656.0,0.0
97,2017-08-01,598656.0,41621.0,0.0
96,2017-09-01,681413.0,82757.0,0.0
95,2017-10-01,644082.0,37331.0,0.0
94,2017-11-01,602797.0,41285.0,0.0
93,2017-12-01,601351.0,1446.0,0.0
92,2018-01-01,719298.0,117947.0,0.0
91,2018-02-01,691196.0,28102.0,0.0
90,2018-03-01,674462.0,16734.0,0.0
89,2018-04-01,523827.0,150635.0,0.0
88,2018-05-01,454436.0,69391.0,0.0
87,2018-06-01,422310.0,32126.0,0.0
86,2018-07-01,429650.0,7340.0,0.0
85,2018-08-01,456907.0,27257.0,0.0
84,2018-09-01,587639.0,130732.0,0.0
83,2018-10-01,567916.0,19723.0,0.0
82,2018-11-01,546192.0,21724.0,0.0
81,2018-12-01,749638.0,203446.0,0.0
80,2019-01-01,687299.0,62339.0,0.0
79,2019-02-01,656097.0,31202.0,0.0
78,2019-03-01,683952.0,27855.0,0.0
77,2019-04-01,622852.0,61100.0,0.0
76,2019-05-01,592848.0,30004.0,0.0
75,2019-06-01,591839.0,1009.0,0.0
74,2019-07-01,579696.0,12143.0,0.0
73,2019-08-01,659195.0,79499.0,0.0
72,2019-09-01,723700.0,64505.0,0.0
71,2019-10-01,754909.0,31209.0,0.0
70,2019-11-01,764438.0,9529.0,0.0
69,2019-12-01,771640.0,7202.0,0.0
68,2020-01-01,822490.0,50850.0,0.0
67,2020-02-01,933748.0,111258.0,0.0
66,2020-03-01,1226724.0,292976.0,0.0
65,2020-04-01,1308963.0,82239.0,0.0
64,2020-05-01,1179111.0,129852.0,0.0
63,2020-06-01,957636.0,221475.0,0.0
62,2020-07-01,861948.0,95688.0,0.0
61,2020-08-01,932283.0,70335.0,0.0
60,2020-09-01,980879.0,48596.0,0.0
59,2020-10-01,951748.0,29131.0,0.0
58,2020-11-01,1040051.0,88303.0,0.0
57,2020-12-01,1169661.0,129610.0,0.0
56,2021-01-01,1125411.0,44250.0,0.0
55,2021-02-01,1125838.0,427.0,0.0
54,2021-03-01,1201993.0,76155.0,0.0
53,2021-04-01,1150982.0,51011.0,0.0
52,2021-05-01,1088168.0,62814.0,0.0
51,2021-06-01,929940.0,158228.0,0.0
50,2021-07-01,766510.0,163430.0,0.0
49,2021-08-01,804133.0,37623.0,0.0
48,2021-09-01,949817.0,145684.0,0.0
47,2021-10-01,866030.0,83787.0,0.0
46,2021-11-01,944330.0,78300.0,0.0
45,2021-12-01,950586.0,6256.0,0.0
44,2022-01-01,992455.0,41869.0,0.0
43,2022-02-01,997730.0,5275.0,0.0
42,2022-03-01,993808.0,3922.0,0.0
41,2022-04-01,1016762.0,22954.0,0.0
40,2022-05-01,932681.0,84081.0,0.0
39,2022-06-01,906968.0,25713.0,0.0
38,2022-07-01,928329.0,21361.0,0.0
37,2022-08-01,1039889.0,111560.0,0.0
36,2022-09-01,1103223.0,63334.0,0.0
