,month,peak,gain,average
234,2004-10-01,9448.0,0.0,0.0
233,2004-11-01,16454.0,7006.0,0.0
232,2004-12-01,49568.0,33114.0,0.0
231,2005-01-01,28230.0,21338.0,0.0
230,2005-02-01,30302.0,2072.0,0.0
229,2005-03-01,39232.0,8930.0,0.0
228,2005-04-01,43605.0,4373.0,0.0
227,2005-05-01,30737.0,12868.0,0.0
226,2005-06-01,22734.0,8003.0,0.0
225,2005-07-01,29945.0,7211.0,0.0
224,2005-08-01,51159.0,21214.0,0.0
223,2005-09-01,47518.0,3641.0,0.0
222,2005-11-01,18141.0,29377.0,0.0
221,2005-12-01,59323.0,41182.0,0.0
220,2006-08-01,51625.0,7698.0,0.0
219,2006-11-01,14825.0,36800.0,0.0
218,2006-12-01,56936.0,42111.0,0.0
217,2007-01-01,74899.0,17963.0,0.0
216,2007-02-01,71356.0,3543.0,0.0
215,2007-03-01,30139.0,41217.0,0.0
214,2007-04-01,40644.0,10505.0,0.0
213,2007-05-01,53308.0,12664.0,0.0
212,2007-06-01,85202.0,31894.0,0.0
211,2007-07-01,73676.0,11526.0,0.0
210,2007-08-01,77221.0,3545.0,0.0
209,2007-09-01,88466.0,11245.0,0.0
208,2007-10-01,83142.0,5324.0,0.0
207,2007-11-01,28693.0,54449.0,0.0
206,2007-12-01,74891.0,46198.0,0.0
205,2008-01-01,96798.0,21907.0,0.0
204,2008-09-01,82832.0,13966.0,0.0
203,2008-10-01,87900.0,5068.0,0.0
202,2008-11-01,59199.0,28701.0,0.0
201,2008-12-01,67808.0,8609.0,0.0
200,2009-01-01,59256.0,8552.0,0.0
199,2009-02-01,100056.0,40800.0,0.0
198,2009-03-01,95245.0,4811.0,0.0
197,2009-04-01,60504.0,34741.0,0.0
196,2009-05-01,78463.0,17959.0,0.0
195,2009-06-01,86374.0,7911.0,0.0
194,2009-07-01,68078.0,18296.0,0.0
193,2009-08-01,89486.0,21408.0,0.0
192,2009-09-01,80681.0,8805.0,0.0
191,2009-10-01,85147.0,4466.0,0.0
190,2009-11-01,46884.0,38263.0,0.0
189,2009-12-01,82447.0,35563.0,0.0
188,2010-01-01,89470.0,7023.0,0.0
187,2010-02-01,76744.0,12726.0,0.0
186,2010-03-01,91679.0,14935.0,0.0
185,2010-04-01,86207.0,5472.0,0.0
184,2010-05-01,84934.0,1273.0,0.0
183,2010-06-01,80638.0,4296.0,0.0
182,2010-07-01,64655.0,15983.0,0.0
181,2010-08-01,70257.0,5602.0,0.0
180,2010-09-01,74610.0,4353.0,0.0
179,2010-10-01,74782.0,172.0,0.0
178,2010-11-01,80274.0,5492.0,0.0
177,2010-12-01,81541.0,1267.0,0.0
176,2011-01-01,87340.0,5799.0,0.0
175,2011-02-01,82999.0,4341.0,0.0
174,2011-03-01,78707.0,4292.0,0.0
173,2011-04-01,72932.0,5775.0,0.0
172,2011-05-01,68399.0,4533.0,0.0
171,2011-06-01,67319.0,1080.0,0.0
170,2011-07-01,57615.0,9704.0,0.0
169,2011-08-01,63643.0,6028.0,0.0
168,2011-09-01,62522.0,1121.0,0.0
167,2011-10-01,62201.0,321.0,0.0
166,2011-11-01,57692.0,4509.0,0.0
165,2011-12-01,62805.0,5113.0,0.0
164,2012-01-01,67235.0,4430.0,0.0
163,2012-02-01,65028.0,2207.0,0.0
162,2012-03-01,63998.0,1030.0,0.0
161,2012-04-01,61373.0,2625.0,0.0
160,2012-05-01,56593.0,4780.0,0.0
159,2012-06-01,53484.0,3109.0,0.0
158,2012-07-01,48850.0,4634.0,0.0
157,2012-08-01,48224.0,626.0,0.0
156,2012-09-01,43924.0,4300.0,0.0
155,2012-10-01,45145.0,1221.0,0.0
154,2012-11-01,44160.0,985.0,0.0
153,2012-12-01,48458.0,4298.0,0.0
152,2013-01-01,48125.0,333.0,0.0
151,2013-02-01,44608.0,3517.0,0.0
150,2013-03-01,44034.0,574.0,0.0
149,2013-04-01,38626.0,5408.0,0.0
148,2013-05-01,32816.0,5810.0,0.0
147,2013-06-01,31622.0,1194.0,0.0
146,2013-07-01,29840.0,1782.0,0.0
145,2013-08-01,31385.0,1545.0,0.0
144,2013-09-01,31775.0,390.0,0.0
143,2013-10-01,32227.0,452.0,0.0
142,2013-11-01,32541.0,314.0,0.0
141,2013-12-01,35222.0,2681.0,0.0
140,2014-01-01,35887.0,665.0,0.0
139,2014-02-01,30851.0,5036.0,0.0
138,2014-03-01,27789.0,3062.0,0.0
137,2014-04-01,26052.0,1737.0,0.0
136,2014-05-01,24587.0,1465.0,0.0
135,2014-06-01,23895.0,692.0,0.0
134,2014-07-01,21221.0,2674.0,0.0
133,2014-08-01,21419.0,198.0,0.0
132,2014-09-01,21135.0,284.0,0.0
131,2014-10-01,21678.0,543.0,0.0
130,2014-11-01,23493.0,1815.0,0.0
129,2014-12-01,24519.0,1026.0,0.0
128,2015-01-01,24617.0,98.0,0.0
127,2015-02-01,21737.0,2880.0,0.0
126,2015-03-01,17772.0,3965.0,0.0
125,2015-04-01,16183.0,1589.0,0.0
124,2015-05-01,16204.0,21.0,0.0
123,2015-06-01,14896.0,1308.0,0.0
122,2015-07-01,13870.0,1026.0,0.0
121,2015-08-01,13594.0,276.0,0.0
120,2015-09-01,13553.0,41.0,0.0
119,2015-10-01,13960.0,407.0,0.0
118,2015-11-01,14300.0,340.0,0.0
117,2015-12-01,14860.0,560.0,0.0
116,2016-01-01,16142.0,1282.0,0.0
115,2016-02-01,15627.0,515.0,0.0
114,2016-03-01,14846.0,781.0,0.0
113,2016-04-01,12774.0,2072.0,0.0
112,2016-05-01,11212.0,1562.0,0.0
111,2016-06-01,10865.0,347.0,0.0
110,2016-07-01,10131.0,734.0,0.0
109,2016-08-01,9828.0,303.0,0.0
108,2016-09-01,10083.0,255.0,0.0
107,2016-10-01,10503.0,420.0,0.0
106,2016-11-01,11211.0,708.0,0.0
105,2016-12-01,11500.0,289.0,0.0
104,2017-01-01,12471.0,971.0,0.0
103,2017-02-01,11557.0,914.0,0.0
102,2017-03-01,10702.0,855.0,0.0
101,2017-04-01,9493.0,1209.0,0.0
100,2017-05-01,8932.0,561.0,0.0
99,2017-06-01,8598.0,334.0,0.0
98,2017-07-01,8622.0,24.0,0.0
97,2017-08-01,7911.0,711.0,0.0
96,2017-09-01,8288.0,377.0,0.0
95,2017-10-01,8818.0,530.0,0.0
94,2017-11-01,9163.0,345.0,0.0
93,2017-12-01,9918.0,755.0,0.0
92,2018-01-01,10462.0,544.0,0.0
91,2018-02-01,9825.0,637.0,0.0
90,2018-03-01,9367.0,458.0,0.0
89,2018-04-01,8486.0,881.0,0.0
88,2018-05-01,7154.0,1332.0,0.0
87,2018-06-01,7181.0,27.0,0.0
86,2018-07-01,6714.0,467.0,0.0
85,2018-08-01,6845.0,131.0,0.0
84,2018-09-01,6804.0,41.0,0.0
83,2018-10-01,7154.0,350.0,0.0
82,2018-11-01,8381.0,1227.0,0.0
81,2018-12-01,8771.0,390.0,0.0
80,2019-01-01,8799.0,28.0,0.0
79,2019-02-01,8167.0,632.0,0.0
78,2019-03-01,7530.0,637.0,0.0
77,2019-04-01,6823.0,707.0,0.0
76,2019-05-01,6592.0,231.0,0.0
75,2019-06-01,6790.0,198.0,0.0
74,2019-07-01,6972.0,182.0,0.0
73,2019-08-01,6045.0,927.0,0.0
72,2019-09-01,6298.0,253.0,0.0
71,2019-10-01,6196.0,102.0,0.0
70,2019-11-01,7384.0,1188.0,0.0
69,2019-12-01,7940.0,556.0,0.0
68,2020-01-01,7906.0,34.0,0.0
67,2020-02-01,6996.0,910.0,0.0
66,2020-03-01,10948.0,3952.0,0.0
65,2020-04-01,11636.0,688.0,0.0
64,2020-05-01,9734.0,1902.0,0.0
63,2020-06-01,7356.0,2378.0,0.0
62,2020-07-01,6790.0,566.0,0.0
61,2020-08-01,6286.0,504.0,0.0
60,2020-09-01,5887.0,399.0,0.0
59,2020-10-01,6616.0,729.0,0.0
58,2020-11-01,7310.0,694.0,0.0
57,2020-12-01,8120.0,810.0,0.0
56,2021-01-01,8292.0,172.0,0.0
55,2021-02-01,7610.0,682.0,0.0
54,2021-03-01,8995.0,1385.0,0.0
53,2021-04-01,8737.0,258.0,0.0
52,2021-05-01,7047.0,1690.0,0.0
51,2021-06-01,6023.0,1024.0,0.0
50,2021-07-01,5971.0,52.0,0.0
49,2021-08-01,5337.0,634.0,0.0
48,2021-09-01,5649.0,312.0,0.0
47,2021-10-01,5723.0,74.0,0.0
46,2021-11-01,6172.0,449.0,0.0
45,2021-12-01,6704.0,532.0,0.0
44,2022-01-01,8118.0,1414.0,0.0
43,2022-02-01,8907.0,789.0,0.0
42,2022-03-01,8369.0,538.0,0.0
41,2022-04-01,8494.0,125.0,0.0
40,2022-05-01,7491.0,1003.0,0.0
39,2022-06-01,7349.0,142.0,0.0
38,2022-07-01,7513.0,164.0,0.0
37,2022-08-01,7027.0,486.0,0.0
36,2022-09-01,6961.0,66.0,0.0
35,2022-10-01,5396.0,1565.0,3013.0
34,2022-11-01,6417.0,1021.0,3136.0
33,2022-12-01,6048.0,369.0,3287.0
32,2023-01-01,6240.0,192.0,3340.0
31,2023-02-01,5531.0,709.0,3024.0
30,2023-03-01,6231.0,700.0,3142.0
29,2023-04-01,5498.0,733.0,2874.0
28,2023-05-01,4948.0,550.0,2568.0
27,2023-06-01,5039.0,91.0,2622.0
26,2023-07-01,5325.0,286.0,2921.0
25,2023-08-01,4495.0,830.0,2653.0
24,2023-09-01,5471.0,976.0,2763.0
23,2023-10-01,5495.0,24.0,3016.0
22,2023-11-01,6061.0,566.0,3084.0
21,2023-12-01,5973.0,88.0,3276.0
20,2024-01-01,6035.0,62.0,3310.0
19,2024-02-01,13071.0,7036.0,5035.0
18,2024-03-01,13063.0,8.0,7062.0
17,2024-04-01,14242.0,1179.0,7964.0
16,2024-05-01,13557.0,685.0,9106.0
15,2024-06-01,15078.0,1521.0,8397.0
14,2024-07-01,17981.0,2903.0,10216.0
13,2024-08-01,18986.0,1005.0,10120.0
12,2024-09-01,15218.0,3768.0,8312.0
11,2024-10-01,13115.0,2103.0,7670.0
10,2024-11-01,12919.0,196.0,7539.0
9,2024-12-01,16674.0,3755.0,9309.0
8,2025-01-01,17737.0,1063.0,10364.0
7,2025-02-01,17926.0,189.0,10041.0
6,2025-03-01,20160.0,2234.0,12566.0
5,2025-04-01,17173.0,2987.0,8189.0
4,2025-05-01,13655.0,3518.0,7644.0
3,2025-06-01,18204.0,4549.0,11163.0
2,2025-07-01,56987.0,38783.0,24047.0
1,2025-08-01,62898.0,5911.0,40198.0
