,month,peak,gain,average
0,2004-01-01,23241.0,0.0,0.0
1,2004-02-01,39709.0,16468.0,0.0
2,2004-04-01,84182.0,35217.0,0.0
3,2004-06-01,80908.0,12826.0,0.0
4,2004-07-01,84804.0,3896.0,0.0
5,2004-08-01,106329.0,23203.0,0.0
6,2004-09-01,112213.0,5884.0,0.0
7,2004-10-01,104471.0,17190.0,0.0
8,2004-11-01,109489.0,9274.0,0.0
9,2004-12-01,184832.0,75343.0,0.0
10,2005-01-01,123087.0,61745.0,0.0
11,2005-02-01,133840.0,10753.0,0.0
12,2005-03-01,160213.0,26373.0,0.0
13,2005-04-01,144177.0,24782.0,0.0
14,2005-05-01,155271.0,36830.0,0.0
15,2005-06-01,114799.0,40472.0,0.0
16,2005-07-01,159457.0,44658.0,0.0
17,2005-08-01,205663.0,46206.0,0.0
18,2005-09-01,185147.0,20516.0,0.0
19,2005-11-01,128508.0,56639.0,0.0
20,2005-12-01,206618.0,78110.0,0.0
21,2006-08-01,205654.0,14610.0,0.0
22,2006-11-01,137798.0,67856.0,0.0
23,2006-12-01,183932.0,46134.0,0.0
24,2007-01-01,231570.0,47638.0,0.0
25,2007-02-01,283288.0,58804.0,0.0
26,2007-03-01,224528.0,58760.0,0.0
27,2007-04-01,131302.0,114236.0,0.0
28,2007-05-01,263139.0,131837.0,0.0
29,2007-06-01,344992.0,81853.0,0.0
30,2007-07-01,343354.0,21414.0,0.0
31,2007-08-01,307410.0,43034.0,0.0
32,2007-09-01,404894.0,97484.0,0.0
33,2007-10-01,335093.0,69801.0,0.0
34,2007-11-01,309902.0,96537.0,0.0
35,2007-12-01,426756.0,116854.0,0.0
36,2008-01-01,350212.0,120358.0,0.0
37,2008-09-01,167567.0,182645.0,0.0
38,2008-10-01,177264.0,9697.0,0.0
39,2008-11-01,113772.0,63492.0,0.0
40,2008-12-01,130243.0,16471.0,0.0
41,2009-01-01,113554.0,16689.0,0.0
42,2009-02-01,184563.0,71009.0,0.0
43,2009-03-01,179726.0,5517.0,0.0
44,2009-04-01,115364.0,64362.0,0.0
45,2009-05-01,146044.0,30680.0,0.0
46,2009-06-01,158880.0,12836.0,0.0
47,2009-07-01,125173.0,33771.0,0.0
48,2009-08-01,160808.0,35635.0,0.0
49,2009-09-01,147813.0,12995.0,0.0
50,2009-10-01,158107.0,10294.0,0.0
51,2009-11-01,92452.0,65655.0,0.0
52,2009-12-01,160755.0,68303.0,0.0
