Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Aug-25,"64,229","-27,479",-30%,"442,575","1,436",-110,-7.10%,"2,916",15.4M
Jul-25,"91,708","5,443",6.30%,"728,540","1,546",36,2.40%,"3,005",68.2M
Jun-25,"86,265","-31,448",-26.70%,"546,187","1,510",38,2.60%,"2,967",64.2M
May-25,"117,713","18,013",18.10%,"1,145,560","1,472",-118,-7.40%,"3,020",84.8M
Apr-25,"99,700","12,647",14.50%,"720,514","1,590",-79,-4.70%,"3,237",74.1M
Mar-25,"87,053","-20,545",-19.10%,"825,882","1,669",-88,-5%,"3,489",62.7M
Feb-25,"107,598","4,593",4.50%,"630,994","1,757",-108,-5.80%,"3,752",79.7M
Jan-25,"103,005","22,563",28%,"951,103","1,865",163,9.60%,"3,680",68.9M
Dec-24,"80,442","6,982",9.50%,"515,850","1,702",416,32.30%,"3,635",59.5M
Nov-24,"73,460","6,337",9.40%,"943,537","1,286",41,3.30%,"2,481",54.6M
Oct-24,"67,123","3,279",5.10%,"434,403","1,245",24,2%,"2,435",48.2M
Sep-24,"63,844","-14,649",-18.70%,"431,417","1,221",75,6.50%,"2,499",46.7M
Aug-24,"78,493","-4,865",-5.80%,"621,430","1,146",-9,-0.80%,"2,221",55.9M
Jul-24,"83,358","27,622",49.60%,"717,297","1,155",100,9.50%,"2,164",60.9M
Jun-24,"55,736","-5,293",-8.70%,"607,400","1,055",-6,-0.60%,"2,016",41.4M
May-24,"61,029","-14,407",-19.10%,"577,994","1,061",-95,-8.20%,"1,981",43.9M
Apr-24,"75,436","-1,199",-1.60%,"310,707","1,156",-124,-9.70%,"2,404",56.1M
Mar-24,"76,635","-45,677",-37.30%,"272,402","1,280",-77,-5.70%,"2,580",54.9M
Feb-24,"122,312","27,229",28.60%,"1,543,909","1,357",-1,-0.10%,"2,728",90.8M
Jan-24,"95,083","24,145",34%,"696,204","1,358",111,8.90%,"2,691",66.1M
Dec-23,"70,938","20,906",41.80%,"301,303","1,247",150,13.70%,"2,468",51.5M
Nov-23,"50,032","-11,009",-18%,"294,928","1,097",-158,-12.60%,"2,299",37.0M
Oct-23,"61,041","-25,652",-29.60%,"372,214","1,255",-507,-28.80%,"2,433",43.8M
Sep-23,"86,693","24,025",38.30%,"543,945","1,762",801,83.40%,"3,796",64.1M
Aug-23,"62,668","-22,219",-26.20%,"501,271",961,-328,-25.40%,"3,947",44.9M
Jul-23,"84,887","3,815",4.70%,"583,641","1,289",-46,-3.40%,"2,356",62.8M
Jun-23,"81,072","18,950",30.50%,"416,721","1,335",3,0.20%,"2,340",59.9M
May-23,"62,122","-56,468",-47.60%,"451,030","1,332",-112,-7.80%,"2,449",44.6M
Apr-23,"118,590","5,979",5.30%,"1,082,123","1,444",-136,-8.60%,"2,778",88.0M
Mar-23,"112,611","23,679",26.60%,"579,500","1,580",240,17.90%,"3,049",80.8M
Feb-23,"88,932","6,890",8.40%,"883,067","1,340",164,13.90%,"2,957",65.5M
Jan-23,"82,042","29,722",56.80%,"576,269","1,176",80,7.30%,"2,245",54.5M
Dec-22,"52,320","10,506",25.10%,"324,190","1,096",206,23.10%,"2,204",38.6M
Nov-22,"41,814","-79,386",-65.50%,"278,430",890,-21,-2.30%,"1,753",31.1M
Oct-22,"121,200","47,522",64.50%,"1,269,970",911,-70,-7.10%,"1,942",87.2M
Sep-22,"73,678","-6,930",-8.60%,"680,880",981,-101,-9.30%,"1,936",51.4M
Aug-22,"80,608","23,575",41.30%,"444,699","1,082",-78,-6.70%,"2,093",57.4M
Jul-22,"57,033","-11,299",-16.50%,"313,573","1,160",26,2.30%,"2,159",42.4M
Jun-22,"68,332","-9,984",-12.70%,"1,153,318","1,134",-17,-1.50%,"2,023",50.0M
May-22,"78,316","-47,620",-37.80%,"516,513","1,151",29,2.60%,"2,135",56.3M
Apr-22,"125,936","44,091",53.90%,"1,624,985","1,122",21,1.90%,"2,155",93.2M
Mar-22,"81,845","6,543",8.70%,"429,693","1,101",-56,-4.80%,"2,169",58.8M
Feb-22,"75,302","-25,135",-25%,"353,044","1,157",-235,-16.90%,"2,300",54.9M
Jan-22,"100,437","46,561",86.40%,"973,776","1,392",-79,-5.40%,"2,737",66.8M
Dec-21,"53,876","-7,268",-11.90%,"436,231","1,471",241,19.60%,"2,891",40.0M
Nov-21,"61,144","-49,880",-44.90%,"525,572","1,230",-93,-7%,"2,491",45.5M
Oct-21,"111,024","16,649",17.60%,"1,914,861","1,323",38,3%,"2,606",79.9M
Sep-21,"94,375","8,944",10.50%,"686,957","1,285",-115,-8.20%,"2,563",70.2M
Aug-21,"85,431","18,447",27.50%,"727,079","1,400",-78,-5.30%,"2,828",61.5M
Jul-21,"66,984","-11,740",-14.90%,"391,961","1,478",-11,-0.70%,"2,543",49.8M
Jun-21,"78,724","1,763",2.30%,"725,314","1,489",-126,-7.80%,"2,510",58.6M
May-21,"76,961","-24,675",-24.30%,"368,087","1,615",-241,-13%,"3,006",55.4M
Apr-21,"101,636","4,369",4.50%,"551,252","1,856",-179,-8.80%,"3,620",75.6M
Mar-21,"97,267",42,-,"437,186","2,035",-151,-6.90%,"4,197",70.0M
Feb-21,"97,225","-3,306",-3.30%,"483,151","2,186",-55,-2.50%,"4,401",72.3M
Jan-21,"100,531","18,626",22.70%,"619,234","2,241",-3,-0.10%,"4,470",67.5M
Dec-20,"81,905",436,0.50%,"592,645","2,244",327,17.10%,"4,588",60.9M
