month,peak,gain,% gain
2020-06-01,126511.0,-20062.0,-13.7
2020-07-01,122461.0,-4050.0,-3.2
2020-08-01,131847.0,9386.0,7.7
2020-09-01,94285.0,-37562.0,-28.5
2020-10-01,115584.0,21299.0,22.6
2020-11-01,95594.0,-19990.0,-17.3
2020-12-01,124103.0,28509.0,29.8
2021-01-01,123948.0,-155.0,-0.1
2021-02-01,113520.0,-10428.0,-8.4
2021-03-01,200879.0,87359.0,77.0
2021-04-01,142333.0,-58546.0,-29.1
2021-05-01,109202.0,-33131.0,-23.3
2021-06-01,100628.0,-8574.0,-7.9
2021-07-01,90531.0,-10097.0,-10.0
2021-08-01,93607.0,3076.0,3.4
2021-09-01,111591.0,17984.0,19.2
2021-10-01,80597.0,-30994.0,-27.8
2021-11-01,71383.0,-9214.0,-11.4
2021-12-01,84176.0,12793.0,17.9
2022-01-01,75125.0,-9051.0,-10.8
2022-02-01,78156.0,3031.0,4.0
2022-03-01,109445.0,31289.0,40.0
2022-04-01,93577.0,-15868.0,-14.5
2022-05-01,94285.0,708.0,0.8
2022-06-01,70958.0,-23327.0,-24.7
2022-07-01,64816.0,-6142.0,-8.7
2022-08-01,62393.0,-2423.0,-3.7
2022-09-01,66588.0,4195.0,6.7
2022-10-01,54972.0,-11616.0,-17.4
2022-11-01,46245.0,-8727.0,-15.9
2022-12-01,64310.0,18065.0,39.1
2023-01-01,67039.0,2729.0,4.2
2023-02-01,65006.0,-2033.0,-3.0
2023-03-01,88246.0,23240.0,35.8
2023-04-01,79348.0,-8898.0,-10.1
2023-05-01,66908.0,-12440.0,-15.7
2023-06-01,68586.0,1678.0,2.5
2023-07-01,71039.0,2453.0,3.6
2023-08-01,84758.0,13719.0,19.3
2023-09-01,95002.0,10244.0,12.1
2023-10-01,94965.0,-37.0,-0.0
2023-11-01,59892.0,-35073.0,-36.9
2023-12-01,62212.0,2320.0,3.9
2024-01-01,94285.0,32073.0,51.6
2024-02-01,102219.0,7934.0,8.4
2024-03-01,201933.0,99714.0,97.5
2024-04-01,156000.0,-45933.0,-22.7
2024-05-01,101431.0,-54569.0,-35.0
2024-06-01,88733.0,-12698.0,-12.5
2024-07-01,73646.0,-15087.0,-17.0
2024-08-01,75693.0,2047.0,2.8
2024-09-01,90980.0,15287.0,20.2
2024-10-01,76268.0,-14712.0,-16.2
2024-11-01,59030.0,-17238.0,-22.6
2024-12-01,76942.0,17912.0,30.3
2025-01-01,95755.0,18813.0,24.5
2025-02-01,101606.0,5851.0,6.1
2025-03-01,145490.0,43884.0,43.2
2025-04-01,107312.0,-38178.0,-26.2
2025-05-01,89179.0,-18133.0,-16.9
2025-06-01,141870.0,52691.0,59.1
2025-07-01,111052.0,-30818.0,-21.7
2025-08-01,100219.0,-10833.0,-9.8
