id,name,first_release_date,genres,rating,rating_count,total_rating,total_rating_count,aggregated_rating,aggregated_rating_count
92204,_-_,2018-03-14,"['Puzzle', 'Arcade']",90.0,0.0,90.0,0.0,,
1649,007 Legends,2012-10-16,['Shooter'],54.17280038586363,23.0,49.94354305007467,30.0,45.71428571428572,7.0
113188,03.04,2019-01-01,"['Adventure', 'Indie']",60.0,2.0,60.0,2.0,,
55486,0°N 0°W,2018-03-02,"['Adventure', 'Indie']",70.0,4.0,60.0,5.0,50.0,1.0
9583,0rbitalis,2014-04-16,"['Puzzle', 'Simulator', 'Indie']",79.93555082087471,5.0,77.46777541043735,8.0,75.0,3.0
9705,10000000,2012-02-17,"['Puzzle', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Indie']",50.36445553273892,18.0,65.18222776636946,19.0,80.0,1.0
14727,"10,000 Bullets",2005-02-24,"['Shooter', 'Adventure']",50.97409151509868,4.0,50.97409151509868,4.0,,
6281,1000 Amps,2012-02-22,"['Platform', 'Puzzle', 'Adventure', 'Indie']",80.0,1.0,76.0,3.0,72.0,2.0
120028,1000 Days to Escape,2019-07-25,"['Simulator', 'Indie', 'Arcade']",60.0,1.0,60.0,1.0,,
34360,1000 Heads Among the Trees,2015-12-11,['Indie'],60.0,0.0,60.0,0.0,,
218282,1000xResist,2024-05-09,"['Puzzle', 'Adventure', 'Indie']",88.77979739887235,16.0,88.77979739887235,16.0,,
90040,1001 Jigsaw: Earth Chronicles 3,2015-11-30,['Puzzle'],30.0,0.0,30.0,0.0,,
8617,1001 Spikes,2014-06-03,"['Platform', 'Adventure', 'Indie', 'Arcade']",63.6416,9.0,71.82079999999999,12.0,80.0,3.0
288726,100 Aliens Cats,2024-06-09,"['Point-and-click', 'Indie']",67.53254646652056,5.0,67.53254646652056,5.0,,
274380,100 Asian Cats,2023-12-17,"['Point-and-click', 'Puzzle', 'Indie']",59.51042423748494,11.0,59.51042423748494,11.0,,
282721,100 Capitalist Cats,2024-01-21,"['Point-and-click', 'Puzzle', 'Adventure', 'Arcade']",56.85138539042821,6.0,56.85138539042821,6.0,,
276704,100 Christmas Cats,2023-12-01,"['Point-and-click', 'Puzzle', 'Indie']",55.64936647756276,8.0,55.64936647756276,8.0,,
47939,100 Classic Book Collection,2008-12-26,[],68.0,2.0,68.0,2.0,,
284395,100 Dino Cats,2024-02-26,"['Point-and-click', 'Simulator', 'Sport', 'Strategy', 'Adventure', 'Indie']",50.97920136319283,6.0,50.97920136319283,6.0,,
115826,100 Euro,2019-03-18,[],60.0,0.0,60.0,0.0,,
23168,100ft Robot Golf,2016-10-10,"['Fighting', 'Sport', 'Indie']",60.0,4.0,59.0,9.0,58.0,5.0
158986,100 Hidden Cats,2021-04-15,"['Point-and-click', 'Adventure', 'Indie']",57.26194638838136,7.0,57.26194638838136,7.0,,
187215,100 Hidden Dogs,2021-10-15,"['Point-and-click', 'Adventure', 'Indie']",49.96510268115236,6.0,49.96510268115236,6.0,,
186155,100 Hidden Frogs,2021-11-15,"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",69.97300895400139,15.0,69.97300895400139,15.0,,
288727,100 Istanbul Cats,2024-05-13,"['Role-playing (RPG)', 'Simulator', 'Indie']",51.36717902501711,6.0,51.36717902501711,6.0,,
288728,100 March Cats,2024-03-06,"['Point-and-click', 'Indie']",51.36151541655251,7.0,51.36151541655251,7.0,,
283034,100 Ninja Cats,2024-02-12,"['Point-and-click', 'Puzzle', 'Indie']",60.48881488135667,6.0,60.48881488135667,6.0,,
11426,100% Orange Juice,2009-08-15,"['Strategy', 'Turn-based strategy (TBS)', 'Indie', 'Card & Board Game']",75.5107505595468,41.0,75.5107505595468,41.0,,
70890,100 Pics Quiz,2013-07-03,"['Puzzle', 'Quiz/Trivia']",80.0,0.0,80.0,0.0,,
284583,100 Robo Cats,2024-02-26,"['Point-and-click', 'Adventure', 'Indie', 'Arcade']",53.87662389415796,5.0,53.87662389415796,5.0,,
23025,101-in-1 Explosive Megamix,2008-11-28,['Arcade'],52.0,1.0,51.83333333333333,4.0,51.66666666666666,3.0
