month,peak,gain,% gain
2020-06-01,8382.0,-3681.0,-22.7
2020-07-01,7746.0,-636.0,-7.6
2020-08-01,8607.0,861.0,11.1
2020-09-01,8060.0,-547.0,-6.4
2020-10-01,13277.0,5217.0,64.7
2020-11-01,9731.0,-3546.0,-26.7
2020-12-01,7714.0,-2017.0,-20.7
2021-01-01,7771.0,57.0,0.7
2021-02-01,10669.0,2898.0,37.3
2021-03-01,6652.0,-4017.0,-37.7
2021-04-01,9568.0,2916.0,43.8
2021-05-01,10912.0,1344.0,14.0
2021-06-01,15911.0,4999.0,45.8
2021-07-01,14972.0,-939.0,-5.9
2021-08-01,20939.0,5967.0,39.9
2021-09-01,12435.0,-8504.0,-40.6
2021-10-01,18049.0,5614.0,45.1
2021-11-01,11001.0,-7048.0,-39.0
2021-12-01,16244.0,5243.0,47.7
2022-01-01,16343.0,99.0,0.6
2022-02-01,12244.0,-4099.0,-25.1
2022-03-01,9137.0,-3107.0,-25.4
2022-04-01,20039.0,10902.0,119.3
2022-05-01,12484.0,-7555.0,-37.7
2022-06-01,15295.0,2811.0,22.5
2022-07-01,17125.0,1830.0,12.0
2022-08-01,15407.0,-1718.0,-10.0
2022-09-01,16865.0,1458.0,9.5
2022-10-01,272848.0,-7191.0,1517.8
2022-11-01,505463.0,232615.0,85.3
2022-12-01,325849.0,-179614.0,-35.5
2023-01-01,183390.0,-142459.0,-43.7
2023-02-01,186641.0,3251.0,1.8
2023-03-01,182393.0,-8776.0,-2.3
2023-04-01,166313.0,-16080.0,-8.8
2023-05-01,127198.0,-39115.0,-23.5
2023-06-01,134146.0,6948.0,5.5
2023-07-01,107917.0,-26229.0,-19.6
2023-08-01,133255.0,25338.0,23.5
2023-09-01,110585.0,-22670.0,-17.0
2023-10-01,205563.0,94978.0,85.9
2023-11-01,210666.0,5103.0,2.5
2023-12-01,179080.0,-31586.0,-15.0
2024-01-01,160542.0,-18538.0,-10.4
2024-02-01,172798.0,12256.0,7.6
2024-03-01,137004.0,-35794.0,-20.7
2024-04-01,188017.0,51013.0,37.2
2024-05-01,149306.0,-38711.0,-20.6
2024-06-01,156375.0,7069.0,4.7
2024-07-01,125764.0,-30611.0,-19.6
2024-08-01,176603.0,50839.0,40.4
2024-09-01,176811.0,208.0,0.1
2024-10-01,320283.0,143472.0,81.1
2024-11-01,327159.0,6876.0,2.1
2024-12-01,184103.0,-143056.0,-43.7
2025-01-01,126148.0,-57955.0,-31.5
2025-02-01,119583.0,-6565.0,-5.2
2025-03-01,91453.0,-28130.0,-23.5
2025-04-01,152660.0,61207.0,66.9
2025-05-01,128330.0,-24330.0,-15.9
2025-06-01,106348.0,-21982.0,-17.1
2025-07-01,105203.0,-1145.0,-1.1
2025-08-01,88789.0,-16414.0,-15.6
