month,peak,gain,% gain
2004-01-01,23241.0,0.0,0.0
2004-02-01,39709.0,16468.0,70.9
2004-04-01,74926.0,35217.0,88.7
2004-06-01,66876.0,-8050.0,-10.7
2004-07-01,69685.0,2809.0,4.2
2004-08-01,92049.0,22364.0,32.1
2004-09-01,96451.0,4402.0,4.8
2004-10-01,79947.0,-16504.0,-17.1
2004-11-01,77819.0,-2128.0,-2.7
2004-12-01,117157.0,39338.0,50.6
2005-01-01,79165.0,-37992.0,-32.4
2005-02-01,87036.0,7871.0,9.9
2005-03-01,103492.0,16456.0,18.9
2005-04-01,87284.0,-16208.0,-15.7
2005-05-01,105295.0,18011.0,20.6
2005-06-01,80012.0,-25283.0,-24.0
2005-07-01,110858.0,30846.0,38.6
2005-08-01,132066.0,21208.0,19.1
2005-09-01,118588.0,-13478.0,-10.2
2005-11-01,95543.0,-23045.0,-19.4
2005-12-01,126053.0,30510.0,31.9
2006-08-01,132876.0,6823.0,5.4
2006-11-01,107770.0,-25106.0,-18.9
2006-12-01,109100.0,1330.0,1.2
2007-01-01,134820.0,25720.0,23.6
2007-02-01,188125.0,53305.0,39.5
2007-03-01,174450.0,-13675.0,-7.3
2007-04-01,78735.0,-95715.0,-54.9
2007-05-01,184843.0,106108.0,134.8
2007-06-01,232534.0,47691.0,25.8
2007-07-01,241132.0,8598.0,3.7
2007-08-01,202644.0,-38488.0,-16.0
2007-09-01,283680.0,81036.0,40.0
2007-10-01,223730.0,-59950.0,-21.1
2007-11-01,259403.0,35673.0,15.9
2007-12-01,319586.0,60183.0,23.2
2008-01-01,225274.0,-94312.0,-29.5
2008-09-01,73041.0,-152233.0,-67.6
2008-10-01,76504.0,3463.0,4.7
2008-11-01,47245.0,-29259.0,-38.2
2008-12-01,54865.0,7620.0,16.1
2009-01-01,48405.0,-6460.0,-11.8
2009-02-01,75123.0,26718.0,55.2
2009-03-01,75463.0,340.0,0.5
2009-04-01,49447.0,-26016.0,-34.5
2009-05-01,60245.0,10798.0,21.8
2009-06-01,64574.0,4329.0,7.2
2009-07-01,49131.0,-15443.0,-23.9
2009-08-01,62056.0,12925.0,26.3
2009-09-01,58498.0,-3558.0,-5.7
2009-10-01,63832.0,5334.0,9.1
2009-11-01,40578.0,-23254.0,-36.4
2009-12-01,69325.0,28747.0,70.8
2010-01-01,73033.0,3708.0,5.3
2010-02-01,64069.0,-8964.0,-12.3
2010-03-01,75903.0,11834.0,18.5
2010-04-01,73232.0,-2671.0,-3.5
2010-05-01,192924.0,119692.0,163.4
2010-06-01,63869.0,-129055.0,-66.9
2010-07-01,62730.0,-1139.0,-1.8
2010-08-01,67121.0,4391.0,7.0
2010-09-01,70849.0,3728.0,5.6
2010-10-01,74285.0,3436.0,4.8
2010-11-01,75800.0,1515.0,2.0
2010-12-01,76667.0,867.0,1.1
2011-01-01,83905.0,7238.0,9.4
2011-02-01,83324.0,-581.0,-0.7
2011-03-01,81839.0,-1485.0,-1.8
2011-04-01,74934.0,-6905.0,-8.4
2011-05-01,67370.0,-7564.0,-10.1
2011-06-01,69585.0,2215.0,3.3
2011-07-01,60630.0,-8955.0,-12.9
2011-08-01,62959.0,2329.0,3.8
2011-09-01,63909.0,950.0,1.5
2011-10-01,68660.0,4751.0,7.4
2011-11-01,70244.0,1584.0,2.3
