month,peak,gain,% gain
2023-09-01,1560435.0,20931.0,1.4
2023-10-01,1392488.0,-167947.0,-10.8
2023-11-01,1163388.0,-229100.0,-16.5
2023-12-01,1255172.0,91784.0,7.9
2024-01-01,1312422.0,57250.0,4.6
2024-02-01,1403250.0,90828.0,6.9
2024-03-01,1525069.0,121819.0,8.7
2024-04-01,1618685.0,93616.0,6.1
2024-05-01,1631616.0,12931.0,0.8
2024-06-01,1525896.0,-105720.0,-6.5
2024-07-01,1347502.0,-178394.0,-11.7
2024-08-01,1426478.0,78976.0,5.9
2024-09-01,1482529.0,56051.0,3.9
2024-10-01,1498661.0,16132.0,1.1
2024-11-01,1562206.0,63545.0,4.2
2024-12-01,1740261.0,178055.0,11.4
2025-01-01,1604641.0,-135620.0,-7.8
2025-02-01,1789374.0,184733.0,11.5
2025-03-01,1824989.0,35615.0,2.0
2025-04-01,1862531.0,37542.0,2.1
2025-05-01,1722301.0,-140230.0,-7.5
2025-06-01,1732079.0,9778.0,0.6
2025-07-01,1433826.0,-298253.0,-17.2
2025-08-01,1505419.0,71593.0,5.0
