month,peak,gain,% gain
2004-01-01,23241.0,0.0,0.0
2004-02-01,39709.0,16468.0,70.9
2004-04-01,84182.0,35217.0,88.7
2004-06-01,80908.0,-3274.0,40.900000000000006
2004-07-01,84804.0,3896.0,11.9
2004-08-01,106329.0,21525.0,26.6
2004-09-01,112213.0,5884.0,15.2
2004-10-01,104471.0,-17190.0,-21.5
2004-11-01,109489.0,5018.0,72.4
2004-12-01,184832.0,75343.0,270.9
2005-01-01,123087.0,-61745.0,-88.7
2005-02-01,133840.0,10753.0,22.4
2005-03-01,160213.0,26373.0,54.4
2005-04-01,144177.0,-16036.0,-28.6
2005-05-01,155271.0,11094.0,35.9
2005-06-01,114799.0,-40472.0,-87.4
2005-07-01,159457.0,44658.0,125.1
2005-08-01,205663.0,46206.0,110.19999999999999
2005-09-01,185147.0,-20516.0,-32.4
2005-11-01,128508.0,-56639.0,-103.3
2005-12-01,206618.0,78110.0,302.2
2006-08-01,205654.0,-964.0,-8.0
2006-11-01,137798.0,-67856.0,-118.30000000000001
2006-12-01,183932.0,46134.0,303.0
2007-01-01,231570.0,47638.0,77.2
2007-02-01,283288.0,51718.0,43.8
2007-03-01,224528.0,-58760.0,-81.3
2007-04-01,131302.0,-93226.0,-60.2
2007-05-01,263139.0,131837.0,275.6
2007-06-01,344992.0,81853.0,94.69999999999999
2007-07-01,343354.0,-1638.0,-5.1000000000000005
2007-08-01,307410.0,-35944.0,-14.7
2007-09-01,404894.0,97484.0,73.5
2007-10-01,335093.0,-69801.0,-40.900000000000006
2007-11-01,309902.0,-25191.0,-72.3
2007-12-01,426756.0,116854.0,232.2
2008-01-01,350212.0,-76544.0,-13.0
2008-09-01,167567.0,-182645.0,-140.39999999999998
2008-10-01,177264.0,9697.0,20.8
2008-11-01,113772.0,-63492.0,-113.9
2008-12-01,130243.0,16471.0,33.9
2009-01-01,113554.0,-16689.0,-46.6
2009-02-01,184563.0,71009.0,183.3
2009-03-01,179726.0,-4837.0,-8.2
2009-04-01,115364.0,-64362.0,-111.0
2009-05-01,146044.0,30680.0,87.0
2009-06-01,158880.0,12836.0,25.4
2009-07-01,125173.0,-33707.0,-44.699999999999996
2009-08-01,160808.0,35635.0,74.0
2009-09-01,147813.0,-12995.0,-22.3
2009-10-01,158107.0,10294.0,20.3
2009-11-01,92452.0,-65655.0,-126.6
2009-12-01,160755.0,68303.0,226.7
2010-01-01,171430.0,10675.0,13.200000000000001
2010-02-01,148816.0,-22614.0,-36.9
2010-03-01,176642.0,27826.0,51.2
2010-04-01,167923.0,-8719.0,-15.9
2010-05-01,285535.0,117612.0,152.4
2010-06-01,151931.0,-133604.0,-75.30000000000001
2010-07-01,134295.0,-17636.0,-28.5
2010-08-01,144459.0,10164.0,18.2
2010-09-01,152887.0,8428.0,16.7
2010-10-01,156446.0,3559.0,4.3
2010-11-01,163613.0,7167.0,11.5
2010-12-01,165713.0,2100.0,2.2
2011-01-01,178599.0,12886.0,14.5
2011-02-01,173494.0,-5105.0,-8.2
2011-03-01,167261.0,-6233.0,-13.4
2011-04-01,153999.0,-13262.0,-24.4
2011-05-01,141897.0,-12102.0,-16.4
2011-06-01,142446.0,549.0,-7.9
2011-07-01,123425.0,-19021.0,-33.8
2011-08-01,131653.0,8228.0,11.8
