month,peak,gain,% gain
2004-04-01,9256.0,0.0,0.0
2004-06-01,14032.0,4776.0,51.6
2004-07-01,15119.0,1087.0,7.7
2004-08-01,14280.0,-839.0,-5.5
2004-09-01,15762.0,1482.0,10.4
2004-10-01,15076.0,-686.0,-4.4
2004-11-01,15216.0,140.0,0.9
2004-12-01,18107.0,2891.0,19.0
2005-01-01,15692.0,-2415.0,-13.3
2005-02-01,16502.0,810.0,5.2
2005-03-01,17489.0,987.0,6.0
2005-04-01,13288.0,-4201.0,-24.0
2005-05-01,19239.0,5951.0,44.8
2005-06-01,12053.0,-7186.0,-37.4
2005-07-01,18654.0,6601.0,54.8
2005-08-01,22438.0,3784.0,20.3
2005-09-01,19041.0,-3397.0,-15.1
2005-11-01,14824.0,-4217.0,-22.1
2005-12-01,21242.0,6418.0,43.3
2006-08-01,21153.0,-89.0,-0.4
2006-11-01,15203.0,-5950.0,-28.1
2006-12-01,17896.0,2693.0,17.7
2007-01-01,21851.0,3955.0,22.1
2007-02-01,23807.0,1956.0,9.0
2007-03-01,19939.0,-3868.0,-16.2
2007-04-01,11923.0,-8016.0,-40.2
2007-05-01,24988.0,13065.0,109.6
2007-06-01,27256.0,2268.0,9.1
2007-07-01,28546.0,1290.0,4.7
2007-08-01,27545.0,-1001.0,-3.5
2007-09-01,32748.0,5203.0,18.9
2007-10-01,28221.0,-4527.0,-13.8
2007-11-01,21806.0,-6415.0,-22.7
2007-12-01,32279.0,10473.0,48.0
2008-01-01,28140.0,-4139.0,-12.8
2008-09-01,11694.0,-16446.0,-58.4
2008-10-01,12860.0,1166.0,10.0
2008-11-01,7328.0,-5532.0,-43.0
2008-12-01,7570.0,242.0,3.3
2009-01-01,5893.0,-1677.0,-22.2
2009-02-01,9384.0,3491.0,59.2
2009-03-01,9018.0,-366.0,-3.9
2009-04-01,5413.0,-3605.0,-40.0
2009-05-01,7336.0,1923.0,35.5
2009-06-01,7932.0,596.0,8.1
2009-07-01,7964.0,32.0,0.4
2009-08-01,9266.0,1302.0,16.3
2009-09-01,8634.0,-632.0,-6.8
2009-10-01,9128.0,494.0,5.7
2009-11-01,4990.0,-4138.0,-45.3
2009-12-01,8983.0,3993.0,80.0
2010-01-01,8927.0,-56.0,-0.6
2010-02-01,8003.0,-924.0,-10.4
2010-03-01,9060.0,1057.0,13.2
2010-04-01,8484.0,-576.0,-6.4
2010-05-01,7677.0,-807.0,-9.5
2010-06-01,7424.0,-253.0,-3.3
2010-07-01,6910.0,-514.0,-6.9
2010-08-01,7081.0,171.0,2.5
2010-09-01,7428.0,347.0,4.9
2010-10-01,7379.0,-49.0,-0.7
2010-11-01,7539.0,160.0,2.2
2010-12-01,7505.0,-34.0,-0.5
2011-01-01,7354.0,-151.0,-2.0
2011-02-01,7171.0,-183.0,-2.5
2011-03-01,6715.0,-456.0,-6.4
2011-04-01,6133.0,-582.0,-8.7
2011-05-01,6128.0,-5.0,-0.1
2011-06-01,5542.0,-586.0,-9.6
2011-07-01,5180.0,-362.0,-6.5
2011-08-01,5051.0,-129.0,-2.5
2011-09-01,5083.0,32.0,0.6
2011-10-01,4979.0,-104.0,-2.0
2011-11-01,5031.0,52.0,1.0
2011-12-01,4915.0,-116.0,-2.3
2012-01-01,4929.0,14.0,0.3
2012-02-01,4878.0,-51.0,-1.0
2012-03-01,4530.0,-348.0,-7.1
2012-04-01,4394.0,-136.0,-3.0
2012-05-01,4180.0,-214.0,-4.9
2012-06-01,3879.0,-301.0,-7.2
2012-07-01,3530.0,-349.0,-9.0
2012-08-01,3229.0,-301.0,-8.5
2012-09-01,3184.0,-45.0,-1.4
2012-10-01,3183.0,-1.0,0.0
2012-11-01,3356.0,173.0,5.4
2012-12-01,3357.0,1.0,0.0
2013-01-01,3378.0,21.0,0.6
2013-02-01,3282.0,-96.0,-2.8
2013-03-01,2888.0,-394.0,-12.0
2013-04-01,2134.0,-754.0,-26.1
2013-05-01,2020.0,-114.0,-5.3
2013-06-01,1957.0,-63.0,-3.1
2013-07-01,1857.0,-100.0,-5.1
2013-08-01,1925.0,68.0,3.7
2013-09-01,1995.0,70.0,3.6
2013-10-01,2042.0,47.0,2.4
2013-11-01,2090.0,48.0,2.4
2013-12-01,2074.0,-16.0,-0.8
2014-01-01,2157.0,83.0,4.0
2014-02-01,1866.0,-291.0,-13.5
2014-03-01,1764.0,-102.0,-5.5
2014-04-01,1720.0,-44.0,-2.5
2014-05-01,1662.0,-58.0,-3.4
2014-06-01,1565.0,-97.0,-5.8
2014-07-01,1489.0,-76.0,-4.9
2014-08-01,1455.0,-34.0,-2.3
2014-09-01,1525.0,70.0,4.8
2014-10-01,1538.0,13.0,0.9
2014-11-01,1711.0,173.0,11.2
2014-12-01,1767.0,56.0,3.3
2015-01-01,1638.0,-129.0,-7.3
2015-02-01,1493.0,-145.0,-8.9
2015-03-01,1448.0,-45.0,-3.0
2015-04-01,1342.0,-106.0,-7.3
2015-05-01,1312.0,-30.0,-2.2
2015-06-01,1282.0,-30.0,-2.3
2015-07-01,1204.0,-78.0,-6.1
2015-08-01,1174.0,-30.0,-2.5
2015-09-01,1207.0,33.0,2.8
2015-10-01,1203.0,-4.0,-0.3
2015-11-01,1316.0,113.0,9.4
2015-12-01,1394.0,78.0,5.9
2016-01-01,1500.0,106.0,7.6
2016-02-01,1560.0,60.0,4.0
2016-03-01,1383.0,-177.0,-11.3
2016-04-01,1206.0,-177.0,-12.8
2016-05-01,1186.0,-20.0,-1.7
2016-06-01,1196.0,10.0,0.8
2016-07-01,1070.0,-126.0,-10.5
2016-08-01,988.0,-82.0,-7.7
2016-09-01,1051.0,63.0,6.4
2016-10-01,1124.0,73.0,6.9
2016-11-01,1301.0,177.0,15.7
2016-12-01,1357.0,56.0,4.3
2017-01-01,1387.0,30.0,2.2
2017-02-01,1247.0,-140.0,-10.1
2017-03-01,1269.0,22.0,1.8
2017-04-01,1078.0,-191.0,-15.1
2017-05-01,1059.0,-19.0,-1.8
2017-06-01,1065.0,6.0,0.6
2017-07-01,1090.0,25.0,2.3
2017-08-01,1012.0,-78.0,-7.2
2017-09-01,1012.0,0.0,0.0
2017-10-01,1044.0,32.0,3.2
2017-11-01,1418.0,374.0,35.8
2017-12-01,1440.0,22.0,1.6
2018-01-01,1394.0,-46.0,-3.2
2018-02-01,1370.0,-24.0,-1.7
2018-03-01,1187.0,-183.0,-13.4
2018-04-01,999.0,-188.0,-15.8
2018-05-01,934.0,-65.0,-6.5
2018-06-01,1062.0,128.0,13.7
2018-07-01,985.0,-77.0,-7.3
2018-08-01,858.0,-127.0,-12.9
2018-09-01,840.0,-18.0,-2.1
2018-10-01,860.0,20.0,2.4
2018-11-01,1069.0,209.0,24.3
2018-12-01,1061.0,-8.0,-0.7
2019-01-01,1013.0,-48.0,-4.5
2019-02-01,969.0,-44.0,-4.3
2019-03-01,905.0,-64.0,-6.6
2019-04-01,845.0,-60.0,-6.6
2019-05-01,811.0,-34.0,-4.0
2019-06-01,793.0,-18.0,-2.2
2019-07-01,767.0,-26.0,-3.3
2019-08-01,681.0,-86.0,-11.2
2019-09-01,696.0,15.0,2.2
2019-10-01,709.0,13.0,1.9
2019-11-01,746.0,37.0,5.2
2019-12-01,819.0,73.0,9.8
2020-01-01,791.0,-28.0,-3.4
2020-02-01,729.0,-62.0,-7.8
2020-03-01,1576.0,847.0,116.2
2020-04-01,1531.0,-45.0,-2.9
2020-05-01,1358.0,-173.0,-11.3
2020-06-01,929.0,-429.0,-31.6
2020-07-01,921.0,-8.0,-0.9
2020-08-01,740.0,-181.0,-19.7
2020-09-01,694.0,-46.0,-6.2
2020-10-01,726.0,32.0,4.6
2020-11-01,844.0,118.0,16.3
2020-12-01,908.0,64.0,7.6
2021-01-01,947.0,39.0,4.3
2021-02-01,852.0,-95.0,-10.0
2021-03-01,806.0,-46.0,-5.4
2021-04-01,776.0,-30.0,-3.7
2021-05-01,752.0,-24.0,-3.1
2021-06-01,683.0,-69.0,-9.2
2021-07-01,649.0,-34.0,-5.0
2021-08-01,583.0,-66.0,-10.2
2021-09-01,582.0,-1.0,-0.2
2021-10-01,587.0,5.0,0.9
2021-11-01,640.0,53.0,9.0
2021-12-01,686.0,46.0,7.2
2022-01-01,697.0,11.0,1.6
2022-02-01,677.0,-20.0,-2.9
2022-03-01,613.0,-64.0,-9.5
2022-04-01,584.0,-29.0,-4.7
2022-05-01,524.0,-60.0,-10.3
2022-06-01,542.0,18.0,3.4
2022-07-01,525.0,-17.0,-3.1
2022-08-01,491.0,-34.0,-6.5
2022-09-01,495.0,4.0,0.8
2022-10-01,527.0,32.0,6.5
2022-11-01,735.0,208.0,39.5
2022-12-01,718.0,-17.0,-2.3
2023-01-01,719.0,1.0,0.1
2023-02-01,635.0,-84.0,-11.7
2023-03-01,708.0,73.0,11.5
2023-04-01,668.0,-40.0,-5.6
2023-05-01,556.0,-112.0,-16.8
2023-06-01,648.0,92.0,16.5
2023-07-01,621.0,-27.0,-4.2
2023-08-01,521.0,-100.0,-16.1
2023-09-01,630.0,109.0,20.9
2023-10-01,601.0,-29.0,-4.6
2023-11-01,578.0,-23.0,-3.8
2023-12-01,638.0,60.0,10.4
2024-01-01,617.0,-21.0,-3.3
2024-02-01,566.0,-51.0,-8.3
2024-03-01,606.0,40.0,7.1
2024-04-01,540.0,-66.0,-10.9
2024-05-01,505.0,-35.0,-6.5
2024-06-01,584.0,79.0,15.6
2024-07-01,599.0,15.0,2.6
2024-08-01,535.0,-64.0,-10.7
2024-09-01,552.0,17.0,3.2
2024-10-01,591.0,39.0,7.1
2024-11-01,637.0,46.0,7.8
2024-12-01,747.0,110.0,17.3
2025-01-01,673.0,-74.0,-9.9
2025-02-01,642.0,-31.0,-4.6
2025-03-01,644.0,2.0,0.3
2025-04-01,616.0,-28.0,-4.3
2025-05-01,580.0,-36.0,-5.8
2025-06-01,559.0,-21.0,-3.6
2025-07-01,588.0,29.0,5.2
2025-08-01,557.0,-31.0,-5.3
