month,peak,gain,% gain
2011-11-01,680.0,0.0,0.0
2012-02-01,204.0,-476.0,-70.0
2012-03-01,1263.0,1059.0,519.1
2012-04-01,1899.0,636.0,50.4
2012-05-01,2919.0,1020.0,53.7
2012-06-01,2732.0,-187.0,-6.4
2012-07-01,52261.0,49529.0,1812.9
2012-08-01,52596.0,335.0,0.6
2012-09-01,36870.0,-15726.0,-29.9
2012-10-01,50533.0,13663.0,37.1
2012-11-01,50533.0,0.0,0.0
2012-12-01,31359.0,-19174.0,-37.9
2013-01-01,35238.0,3879.0,12.4
2013-02-01,35597.0,359.0,1.0
2013-03-01,32414.0,-3183.0,-8.9
2013-04-01,53379.0,20965.0,64.7
2013-05-01,53381.0,2.0,0.0
2013-06-01,42149.0,-11232.0,-21.0
2013-07-01,50511.0,8362.0,19.8
2013-08-01,52052.0,1541.0,3.1
2013-09-01,53263.0,1211.0,2.3
2013-10-01,92279.0,39016.0,73.3
2013-11-01,96298.0,4019.0,4.4
2013-12-01,102084.0,5786.0,6.0
2014-01-01,119764.0,17680.0,17.3
2014-02-01,164495.0,44731.0,37.3
2014-03-01,164781.0,286.0,0.2
2014-04-01,170137.0,5356.0,3.3
2014-05-01,173629.0,3492.0,2.1
2014-06-01,194016.0,20387.0,11.7
2014-07-01,277192.0,83176.0,42.9
2014-08-01,275014.0,-2178.0,-0.8
2014-09-01,260613.0,-14401.0,-5.2
2014-10-01,348018.0,87405.0,33.5
2014-11-01,367634.0,19616.0,5.6
2014-12-01,443188.0,75554.0,20.6
2015-01-01,455508.0,12320.0,2.8
2015-02-01,595439.0,139931.0,30.7
2015-03-01,568556.0,-26883.0,-4.5
2015-04-01,569848.0,1292.0,0.2
2015-05-01,681170.0,111322.0,19.5
2015-06-01,611284.0,-69886.0,-10.3
2015-07-01,546142.0,-65142.0,-10.7
2015-08-01,819902.0,273760.0,50.1
2015-09-01,725939.0,-93963.0,-11.5
2015-10-01,786707.0,60768.0,8.4
2015-11-01,691930.0,-94777.0,-12.0
2015-12-01,823694.0,131764.0,19.0
2016-01-01,667432.0,-156262.0,-19.0
2016-02-01,738969.0,71537.0,10.7
2016-03-01,800869.0,61900.0,8.4
2016-04-01,850485.0,49616.0,6.2
2016-05-01,638088.0,-212397.0,-25.0
2016-06-01,579110.0,-58978.0,-9.2
2016-07-01,636056.0,56946.0,9.8
2016-08-01,599095.0,-36961.0,-5.8
