Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"65,174","-9,417",-12.60%,-,-
Aug-25,"74,591","64,353",628.60%,-,-
Jul-25,"10,238",75,0.70%,-,-
Jun-25,"10,163","-2,398",-19.10%,-,-
May-25,"12,561","1,591",14.50%,-,-
Apr-25,"10,970","-6,347",-36.70%,-,-
Mar-25,"17,317","4,639",36.60%,-,-
Feb-25,"12,678","-1,940",-13.30%,-,-
Jan-25,"14,618","-3,137",-17.70%,-,-
Dec-24,"17,755","-17,054",-49.00%,-,-
Nov-24,"34,809","5,622",19.30%,-,-
Oct-24,"29,187","13,703",88.50%,-,-
Sep-24,"15,484","-3,170",-17.00%,-,-
Aug-24,"18,654","-8,784",-32.00%,-,-
Jul-24,"27,438","3,348",13.90%,-,-
Jun-24,"24,090","1,932",8.70%,-,-
May-24,"22,158","-4,287",-16.20%,-,-
Apr-24,"26,445","-17,096",-39.30%,-,-
Mar-24,"43,541","22,933",111.30%,-,-
Feb-24,"20,608","-4,661",-18.40%,-,-
Jan-24,"25,269","-23,594",-48.30%,-,-
Dec-23,"48,863","-6,297",-11.40%,-,-
Nov-23,"55,160","-52,216",-48.60%,-,-
Oct-23,"107,376","95,502",804.30%,-,-
Sep-23,"11,874","-1,290",-9.80%,-,-
Aug-23,"13,164","-2,144",-14.00%,-,-
Jul-23,"15,308","-6,517",-29.90%,-,-
Jun-23,"21,825","2,800",14.70%,-,-
May-23,"19,025",442,2.40%,-,-
Apr-23,"18,583","-5,964",-24.30%,-,-
Mar-23,"24,547","5,683",30.10%,-,-
Feb-23,"18,864","3,068",19.40%,-,-
Jan-23,"15,796","-21,054",-57.10%,-,-
Dec-22,"36,850","18,425",100.00%,-,-
Nov-22,"18,425","7,301",65.60%,-,-
Oct-22,"11,124","-1,877",-14.40%,-,-
Sep-22,"13,001","-4,063",-23.80%,-,-
Aug-22,"17,064","8,897",108.90%,-,-
Jul-22,"8,167","-6,884",-45.70%,-,-
Jun-22,"15,051","11,881",374.80%,-,-
May-22,"3,170","-1,395",-30.60%,-,-
Apr-22,"4,565","1,243",37.40%,-,-
Mar-22,"3,322","-2,344",-41.40%,-,-
Feb-22,"5,666","-11,699",-67.40%,-,-
Jan-22,"17,365","-30,518",-63.70%,-,-
Dec-21,"47,883","-57,514",-54.60%,-,-
Nov-21,"105,397",-,-,-,-
