Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,99,-80,-44.70%,-,-
Aug-25,179,-1,-0.60%,-,-
Jul-25,180,-32,-15.10%,-,-
Jun-25,212,-80,-27.40%,-,-
May-25,292,180,160.70%,-,-
Apr-25,112,-152,-57.60%,-,-
Mar-25,264,104,65.00%,-,-
Feb-25,160,52,48.10%,-,-
Jan-25,108,24,28.60%,-,-
Dec-24,84,-14,-14.30%,-,-
Nov-24,98,25,34.20%,-,-
Oct-24,73,10,15.90%,-,-
Sep-24,63,-18,-22.20%,-,-
Aug-24,81,-29,-26.40%,-,-
Jul-24,110,14,14.60%,-,-
Jun-24,96,-4,-4.00%,-,-
May-24,100,50,100.00%,-,-
Apr-24,50,-53,-51.50%,-,-
Mar-24,103,-41,-28.50%,-,-
Feb-24,144,88,157.10%,-,-
Jan-24,56,-2,-3.40%,-,-
Dec-23,58,-26,-31.00%,-,-
Nov-23,84,-16,-16.00%,-,-
Oct-23,100,72,257.10%,-,-
Sep-23,28,-27,-49.10%,-,-
Aug-23,55,8,17.00%,-,-
Jul-23,47,4,9.30%,-,-
Jun-23,43,-23,-34.80%,-,-
May-23,66,3,4.80%,-,-
Apr-23,63,17,37.00%,-,-
Mar-23,46,9,24.30%,-,-
Feb-23,37,-13,-26.00%,-,-
Jan-23,50,-3,-5.70%,-,-
Dec-22,53,-1,-1.90%,-,-
Nov-22,54,18,50.00%,-,-
Oct-22,36,-20,-35.70%,-,-
Sep-22,56,-5,-8.20%,-,-
Aug-22,61,-20,-24.70%,-,-
Jul-22,81,39,92.90%,-,-
Jun-22,42,-23,-35.40%,-,-
May-22,65,26,66.70%,-,-
Apr-22,39,-13,-25.00%,-,-
Mar-22,52,-6,-10.30%,-,-
Feb-22,58,-5,-7.90%,-,-
Jan-22,63,6,10.50%,-,-
Dec-21,57,23,67.60%,-,-
Nov-21,34,-10,-22.70%,-,-
Oct-21,44,-9,-17.00%,-,-
Sep-21,53,-31,-36.90%,-,-
Aug-21,84,-19,-18.40%,-,-
Jul-21,103,-29,-22.00%,-,-
Jun-21,132,76,135.70%,-,-
May-21,56,-36,-39.10%,-,-
Apr-21,92,-14,-13.20%,-,-
Mar-21,106,-55,-34.20%,-,-
Feb-21,161,1,0.60%,-,-
Jan-21,160,74,86.00%,-,-
Dec-20,86,21,32.30%,-,-
Nov-20,65,-41,-38.70%,-,-
Oct-20,106,29,37.70%,-,-
Sep-20,77,-72,-48.30%,-,-
Aug-20,149,38,34.20%,-,-
Jul-20,111,-168,-60.20%,-,-
Jun-20,279,-,-,-,-
