Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"12,960","-7,260",-35.90%,-,-
Aug-25,"20,220","5,157",34.20%,-,-
Jul-25,"15,063","-1,172",-7.20%,-,-
Jun-25,"16,235","-4,134",-20.30%,-,-
May-25,"20,369","1,548",8.20%,-,-
Apr-25,"18,821","-9,722",-34.10%,-,-
Mar-25,"28,543","-4,526",-13.70%,-,-
Feb-25,"33,069","4,955",17.60%,-,-
Jan-25,"28,114","-7,817",-21.80%,-,-
Dec-24,"35,931","-1,588",-4.20%,-,-
Nov-24,"37,519","8,136",27.70%,-,-
Oct-24,"29,383","-9,921",-25.20%,-,-
Sep-24,"39,304","-2,175",-5.20%,-,-
Aug-24,"41,479","-5,347",-11.40%,-,-
Jul-24,"46,826","1,599",3.50%,-,-
Jun-24,"45,227","14,565",47.50%,-,-
May-24,"30,662","-5,725",-15.70%,-,-
Apr-24,"36,387","-17,501",-32.50%,-,-
Mar-24,"53,888","-9,034",-14.40%,-,-
Feb-24,"62,922","-6,857",-9.80%,-,-
Jan-24,"69,779","-30,657",-30.50%,-,-
Dec-23,"100,436","-15,668",-13.50%,-,-
Nov-23,"116,104","82,220",242.70%,-,-
Oct-23,"33,884","15,626",85.60%,-,-
Sep-23,"18,258",-262,-1.40%,-,-
Aug-23,"18,520",337,1.90%,-,-
Jul-23,"18,183",-478,-2.60%,-,-
Jun-23,"18,661","-2,131",-10.20%,-,-
May-23,"20,792","-2,282",-9.90%,-,-
Apr-23,"23,074","-2,917",-11.20%,-,-
Mar-23,"25,991","-10,653",-29.10%,-,-
Feb-23,"36,644","-4,943",-11.90%,-,-
Jan-23,"41,587","-13,469",-24.50%,-,-
Dec-22,"55,056","-4,730",-7.90%,-,-
Nov-22,"59,786","38,894",186.20%,-,-
Oct-22,"20,892","-3,484",-14.30%,-,-
Sep-22,"24,376","4,760",24.30%,-,-
Aug-22,"19,616",-202,-1.00%,-,-
Jul-22,"19,818",266,1.40%,-,-
Jun-22,"19,552",271,1.40%,-,-
May-22,"19,281","-8,300",-30.10%,-,-
Apr-22,"27,581","-3,906",-12.40%,-,-
Mar-22,"31,487","-1,806",-5.40%,-,-
Feb-22,"33,293","6,720",25.30%,-,-
Jan-22,"26,573","-1,827",-6.40%,-,-
Dec-21,"28,400","-16,430",-36.60%,-,-
Nov-21,"44,830","-42,168",-48.50%,-,-
Oct-21,"86,998","-2,816",-3.10%,-,-
Sep-21,"89,814","13,358",17.50%,-,-
Aug-21,"76,456","45,575",147.60%,-,-
Jul-21,"30,881","2,524",8.90%,-,-
Jun-21,"28,357","14,301",101.70%,-,-
May-21,"14,056","-8,834",-38.60%,-,-
Apr-21,"22,890","10,327",82.20%,-,-
Mar-21,"12,563","-6,318",-33.50%,-,-
Feb-21,"18,881","11,640",160.80%,-,-
Jan-21,"7,241",121,1.70%,-,-
Dec-20,"7,120",-94,-1.30%,-,-
Nov-20,"7,214","1,016",16.40%,-,-
Oct-20,"6,198","1,724",38.50%,-,-
Sep-20,"4,474","-4,606",-50.70%,-,-
Aug-20,"9,080","6,846",306.40%,-,-
Jul-20,"2,234",200,9.80%,-,-
Jun-20,"2,034",-,-,-,-
