Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"3,565","-3,900",-52.20%,-,-
Aug-25,"7,465","3,159",73.40%,-,-
Jul-25,"4,306",803,22.90%,-,-
Jun-25,"3,503",-622,-15.10%,-,-
May-25,"4,125","1,411",52.00%,-,-
Apr-25,"2,714","-1,857",-40.60%,-,-
Mar-25,"4,571","-1,100",-19.40%,-,-
Feb-25,"5,671","1,634",40.50%,-,-
Jan-25,"4,037",989,32.40%,-,-
Dec-24,"3,048",-241,-7.30%,-,-
Nov-24,"3,289","1,055",47.20%,-,-
Oct-24,"2,234",-49,-2.10%,-,-
Sep-24,"2,283",-177,-7.20%,-,-
Aug-24,"2,460",-719,-22.60%,-,-
Jul-24,"3,179",584,22.50%,-,-
Jun-24,"2,595",106,4.30%,-,-
May-24,"2,489",508,25.60%,-,-
Apr-24,"1,981",-813,-29.10%,-,-
Mar-24,"2,794",-757,-21.30%,-,-
Feb-24,"3,551",930,35.50%,-,-
Jan-24,"2,621",-165,-5.90%,-,-
Dec-23,"2,786",-258,-8.50%,-,-
Nov-23,"3,044",206,7.30%,-,-
Oct-23,"2,838","1,278",81.90%,-,-
Sep-23,"1,560",-608,-28.00%,-,-
Aug-23,"2,168",85,4.10%,-,-
Jul-23,"2,083",48,2.40%,-,-
Jun-23,"2,035",-381,-15.80%,-,-
May-23,"2,416",-81,-3.20%,-,-
Apr-23,"2,497",284,12.80%,-,-
Mar-23,"2,213",-745,-25.20%,-,-
Feb-23,"2,958",-941,-24.10%,-,-
Jan-23,"3,899",11,0.30%,-,-
Dec-22,"3,888",-128,-3.20%,-,-
Nov-22,"4,016","1,155",40.40%,-,-
Oct-22,"2,861",-339,-10.60%,-,-
Sep-22,"3,200",398,14.20%,-,-
Aug-22,"2,802",-434,-13.40%,-,-
Jul-22,"3,236",844,35.30%,-,-
Jun-22,"2,392",-670,-21.90%,-,-
May-22,"3,062",159,5.50%,-,-
Apr-22,"2,903",-547,-15.90%,-,-
Mar-22,"3,450",307,9.80%,-,-
Feb-22,"3,143",-10,-0.30%,-,-
Jan-22,"3,153",160,5.30%,-,-
Dec-21,"2,993","-1,470",-32.90%,-,-
Nov-21,"4,463","-7,962",-64.10%,-,-
Oct-21,"12,425","6,869",123.60%,-,-
Sep-21,"5,556","-6,773",-54.90%,-,-
Aug-21,"12,329","2,190",21.60%,-,-
Jul-21,"10,139","-1,662",-14.10%,-,-
Jun-21,"11,801","8,381",245.10%,-,-
May-21,"3,420","-2,249",-39.70%,-,-
Apr-21,"5,669","2,881",103.30%,-,-
Mar-21,"2,788","-1,746",-38.50%,-,-
Feb-21,"4,534","1,152",34.10%,-,-
Jan-21,"3,382",259,8.30%,-,-
Dec-20,"3,123",851,37.50%,-,-
Nov-20,"2,272","-3,609",-61.40%,-,-
Oct-20,"5,881","4,762",425.60%,-,-
Sep-20,"1,119","-2,147",-65.70%,-,-
Aug-20,"3,266","2,154",193.70%,-,-
Jul-20,"1,112",-101,-8.30%,-,-
Jun-20,"1,213",-,-,-,-
