Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,227,-105,-31.60%,-,-
Aug-25,332,15,4.70%,-,-
Jul-25,317,-59,-15.70%,-,-
Jun-25,376,-31,-7.60%,-,-
May-25,407,85,26.40%,-,-
Apr-25,322,10,3.20%,-,-
Mar-25,312,-55,-15.00%,-,-
Feb-25,367,-2,-0.50%,-,-
Jan-25,369,-10,-2.60%,-,-
Dec-24,379,166,77.90%,-,-
Nov-24,213,-120,-36.00%,-,-
Oct-24,333,-192,-36.60%,-,-
Sep-24,525,-33,-5.90%,-,-
Aug-24,558,98,21.30%,-,-
Jul-24,460,26,6.00%,-,-
Jun-24,434,-28,-6.10%,-,-
May-24,462,-88,-16.00%,-,-
Apr-24,550,194,54.50%,-,-
Mar-24,356,-31,-8.00%,-,-
Feb-24,387,17,4.60%,-,-
Jan-24,370,-47,-11.30%,-,-
Dec-23,417,-119,-22.20%,-,-
Nov-23,536,210,64.40%,-,-
Oct-23,326,-349,-51.70%,-,-
Sep-23,675,270,66.70%,-,-
Aug-23,405,-68,-14.40%,-,-
Jul-23,473,1,0.20%,-,-
Jun-23,472,-51,-9.80%,-,-
May-23,523,136,35.10%,-,-
Apr-23,387,-96,-19.90%,-,-
Mar-23,483,-111,-18.70%,-,-
Feb-23,594,131,28.30%,-,-
Jan-23,463,7,1.50%,-,-
Dec-22,456,-88,-16.20%,-,-
Nov-22,544,267,96.40%,-,-
Oct-22,277,-368,-57.10%,-,-
Sep-22,645,45,7.50%,-,-
Aug-22,600,86,16.70%,-,-
Jul-22,514,55,12.00%,-,-
Jun-22,459,153,50.00%,-,-
May-22,306,-495,-61.80%,-,-
Apr-22,801,540,206.90%,-,-
Mar-22,261,-31,-10.60%,-,-
Feb-22,292,-58,-16.60%,-,-
Jan-22,350,-13,-3.60%,-,-
Dec-21,363,43,13.40%,-,-
Nov-21,320,-13,-3.90%,-,-
Oct-21,333,25,8.10%,-,-
Sep-21,308,14,4.80%,-,-
Aug-21,294,93,46.30%,-,-
Jul-21,201,7,3.60%,-,-
Jun-21,194,-104,-34.90%,-,-
May-21,298,77,34.80%,-,-
Apr-21,221,-16,-6.80%,-,-
Mar-21,237,-58,-19.70%,-,-
Feb-21,295,88,42.50%,-,-
Jan-21,207,-26,-11.20%,-,-
Dec-20,233,5,2.20%,-,-
Nov-20,228,-11,-4.60%,-,-
Oct-20,239,-3,-1.20%,-,-
Sep-20,242,-5,-2.00%,-,-
Aug-20,247,-36,-12.70%,-,-
Jul-20,283,-14,-4.70%,-,-
Jun-20,297,-138,-31.70%,-,-
May-20,435,111,34.30%,-,-
Apr-20,324,-23,-6.60%,-,-
Mar-20,347,39,12.70%,-,-
Feb-20,308,3,1.00%,-,-
Jan-20,305,-29,-8.70%,-,-
Dec-19,334,-122,-26.80%,-,-
Nov-19,456,108,31.00%,-,-
Oct-19,348,13,3.90%,-,-
Sep-19,335,-17,-4.80%,-,-
Aug-19,352,-27,-7.10%,-,-
Jul-19,379,-1,-0.30%,-,-
Jun-19,380,34,9.80%,-,-
May-19,346,-63,-15.40%,-,-
Apr-19,409,46,12.70%,-,-
Mar-19,363,-34,-8.60%,-,-
Feb-19,397,-77,-16.20%,-,-
Jan-19,474,-41,-8.00%,-,-
Dec-18,515,-34,-6.20%,-,-
Nov-18,549,-34,-5.80%,-,-
Oct-18,583,-37,-6.00%,-,-
Sep-18,620,23,3.90%,-,-
Aug-18,597,123,25.90%,-,-
Jul-18,474,-55,-10.40%,-,-
Jun-18,529,-68,-11.40%,-,-
May-18,597,19,3.30%,-,-
Apr-18,578,-129,-18.20%,-,-
Mar-18,707,-27,-3.70%,-,-
Feb-18,734,-24,-3.20%,-,-
Jan-18,758,-13,-1.70%,-,-
Dec-17,771,-473,-38.00%,-,-
Nov-17,"1,244",-633,-33.70%,-,-
Oct-17,"1,877",-3,-0.20%,-,-
Sep-17,"1,880",201,12.00%,-,-
Aug-17,"1,679","-1,860",-52.60%,-,-
Jul-17,"3,539","1,701",92.50%,-,-
Jun-17,"1,838",-965,-34.40%,-,-
May-17,"2,803",433,18.30%,-,-
Apr-17,"2,370","-1,472",-38.30%,-,-
Mar-17,"3,842","-1,482",-27.80%,-,-
Feb-17,"5,324",162,3.10%,-,-
Jan-17,"5,162",-346,-6.30%,-,-
Dec-16,"5,508","-9,772",-64.00%,-,-
Nov-16,"15,280","15,207",20831.50%,-,-
Oct-16,73,-26,-26.30%,-,-
Sep-16,99,22,28.60%,-,-
Aug-16,77,1,1.30%,-,-
Jul-16,76,18,31.00%,-,-
Jun-16,58,8,16.00%,-,-
May-16,50,19,61.30%,-,-
Apr-16,31,-,-,-,-
