Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,171,-79,-31.60%,-,-
Aug-25,250,5,2.00%,-,-
Jul-25,245,-71,-22.50%,-,-
Jun-25,316,-97,-23.50%,-,-
May-25,413,115,38.60%,-,-
Apr-25,298,12,4.20%,-,-
Mar-25,286,-80,-21.90%,-,-
Feb-25,366,57,18.40%,-,-
Jan-25,309,-35,-10.20%,-,-
Dec-24,344,134,63.80%,-,-
Nov-24,210,-40,-16.00%,-,-
Oct-24,250,-132,-34.60%,-,-
Sep-24,382,-20,-5.00%,-,-
Aug-24,402,-18,-4.30%,-,-
Jul-24,420,-6,-1.40%,-,-
Jun-24,426,5,1.20%,-,-
May-24,421,-132,-23.90%,-,-
Apr-24,553,202,57.50%,-,-
Mar-24,351,-57,-14.00%,-,-
Feb-24,408,85,26.30%,-,-
Jan-24,323,-76,-19.00%,-,-
Dec-23,399,-49,-10.90%,-,-
Nov-23,448,185,70.30%,-,-
Oct-23,263,-263,-50.00%,-,-
Sep-23,526,210,66.50%,-,-
Aug-23,316,-43,-12.00%,-,-
Jul-23,359,-1,-0.30%,-,-
Jun-23,360,0,0.00%,-,-
May-23,360,167,86.50%,-,-
Apr-23,193,-443,-69.70%,-,-
Mar-23,636,-,-,-,-
