Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,376,-101,-21.20%,-,-
Aug-25,477,-239,-33.40%,-,-
Jul-25,716,63,9.60%,-,-
Jun-25,653,-133,-16.90%,-,-
May-25,786,132,20.20%,-,-
Apr-25,654,78,13.50%,-,-
Mar-25,576,-198,-25.60%,-,-
Feb-25,774,187,31.90%,-,-
Jan-25,587,-100,-14.60%,-,-
Dec-24,687,269,64.40%,-,-
Nov-24,418,-30,-6.70%,-,-
Oct-24,448,-128,-22.20%,-,-
Sep-24,576,-28,-4.60%,-,-
Aug-24,604,10,1.70%,-,-
Jul-24,594,-163,-21.50%,-,-
Jun-24,757,172,29.40%,-,-
May-24,585,-149,-20.30%,-,-
Apr-24,734,189,34.70%,-,-
Mar-24,545,-215,-28.30%,-,-
Feb-24,760,182,31.50%,-,-
Jan-24,578,-137,-19.20%,-,-
Dec-23,715,-162,-18.50%,-,-
Nov-23,877,295,50.70%,-,-
Oct-23,582,-463,-44.30%,-,-
Sep-23,"1,045",397,61.30%,-,-
Aug-23,648,-114,-15.00%,-,-
Jul-23,762,1,0.10%,-,-
Jun-23,761,-101,-11.70%,-,-
May-23,862,183,27.00%,-,-
Apr-23,679,-258,-27.50%,-,-
Mar-23,937,-30,-3.10%,-,-
Feb-23,967,195,25.30%,-,-
Jan-23,772,-19,-2.40%,-,-
Dec-22,791,-59,-6.90%,-,-
Nov-22,850,331,63.80%,-,-
Oct-22,519,-402,-43.60%,-,-
Sep-22,921,-3,-0.30%,-,-
Aug-22,924,104,12.70%,-,-
Jul-22,820,89,12.20%,-,-
Jun-22,731,313,74.90%,-,-
May-22,418,"-1,160",-73.50%,-,-
Apr-22,"1,578","1,148",267.00%,-,-
Mar-22,430,-98,-18.60%,-,-
Feb-22,528,-234,-30.70%,-,-
Jan-22,762,2,0.30%,-,-
Dec-21,760,235,44.80%,-,-
Nov-21,525,16,3.10%,-,-
Oct-21,509,-17,-3.20%,-,-
Sep-21,526,7,1.30%,-,-
Aug-21,519,207,66.30%,-,-
Jul-21,312,-37,-10.60%,-,-
Jun-21,349,-378,-52.00%,-,-
May-21,727,325,80.80%,-,-
Apr-21,402,-59,-12.80%,-,-
Mar-21,461,-417,-47.50%,-,-
Feb-21,878,401,84.10%,-,-
Jan-21,477,-34,-6.70%,-,-
Dec-20,511,-94,-15.50%,-,-
Nov-20,605,53,9.60%,-,-
Oct-20,552,"-1,093",-66.40%,-,-
Sep-20,"1,645","1,122",214.50%,-,-
Aug-20,523,-416,-44.30%,-,-
Jul-20,939,50,5.60%,-,-
Jun-20,889,-536,-37.60%,-,-
May-20,"1,425",721,102.40%,-,-
Apr-20,704,-58,-7.60%,-,-
Mar-20,762,91,13.60%,-,-
Feb-20,671,-162,-19.40%,-,-
Jan-20,833,-207,-19.90%,-,-
Dec-19,"1,040",-456,-30.50%,-,-
Nov-19,"1,496",-198,-11.70%,-,-
Oct-19,"1,694","1,208",248.60%,-,-
Sep-19,486,-17,-3.40%,-,-
Aug-19,503,-218,-30.20%,-,-
Jul-19,721,147,25.60%,-,-
Jun-19,574,80,16.20%,-,-
May-19,494,-576,-53.80%,-,-
Apr-19,"1,070",500,87.70%,-,-
Mar-19,570,-22,-3.70%,-,-
Feb-19,592,-83,-12.30%,-,-
Jan-19,675,-158,-19.00%,-,-
Dec-18,833,99,13.50%,-,-
Nov-18,734,44,6.40%,-,-
Oct-18,690,-155,-18.30%,-,-
Sep-18,845,180,27.10%,-,-
Aug-18,665,-199,-23.00%,-,-
Jul-18,864,56,6.90%,-,-
Jun-18,808,-110,-12.00%,-,-
May-18,918,-16,-1.70%,-,-
Apr-18,934,-702,-42.90%,-,-
Mar-18,"1,636",-333,-16.90%,-,-
Feb-18,"1,969",-598,-23.30%,-,-
Jan-18,"2,567","-1,520",-37.20%,-,-
Dec-17,"4,087","-15,319",-78.90%,-,-
Nov-17,"19,406","19,374",60543.80%,-,-
Oct-17,32,-62,-66.00%,-,-
Sep-17,94,-13,-12.10%,-,-
Aug-17,107,11,11.50%,-,-
Jul-17,96,6,6.70%,-,-
Jun-17,90,-7,-7.20%,-,-
May-17,97,-,-,-,-
