Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,"67,540","-2,990",-4.20%,"37,071",-13.50%
Aug-25,"70,530","-19,814",-21.90%,"42,843",-16.40%
Jul-25,"90,344","-1,839",-2.00%,"51,239",-5.40%
Jun-25,"92,183","-20,532",-18.20%,"54,164",-10.60%
May-25,"112,715","-26,972",-19.30%,"60,573",-13.80%
Apr-25,"139,687","63,185",82.60%,"70,291",58.20%
Mar-25,"76,502","-25,762",-25.20%,"44,433",-17.70%
Feb-25,"102,264","-9,520",-8.50%,"54,002",-11.50%
Jan-25,"111,784","-58,427",-34.30%,"60,998",-32.80%
Dec-24,"170,211","-145,123",-46.00%,"90,782",-44.80%
Nov-24,"315,334","8,874",2.90%,"164,541",85.60%
Oct-24,"306,460","148,742",94.30%,"88,643",32.90%
Sep-24,"157,718","3,532",2.30%,"66,679",0.80%
Aug-24,"154,186","48,432",45.80%,"66,128",-1.60%
Jul-24,"105,754","-28,493",-21.20%,"67,191",-9.70%
Jun-24,"134,247","4,275",3.30%,"74,372",-0.40%
May-24,"129,972","-36,800",-22.10%,"74,675",-14.40%
Apr-24,"166,772","47,288",39.60%,"87,268",16.10%
Mar-24,"119,484","-35,007",-22.70%,"75,183",-9.70%
Feb-24,"154,491","9,557",6.60%,"83,268",-5.70%
Jan-24,"144,934","-17,214",-10.60%,"88,261",-14.60%
Dec-23,"162,148","-28,559",-15.00%,"103,368",7.00%
Nov-23,"190,707","1,150",0.60%,"96,597",42.60%
Oct-23,"189,557","100,929",113.90%,"67,750",21.90%
Sep-23,"88,628","-23,855",-21.20%,"55,584",-14.00%
Aug-23,"112,483","26,120",30.20%,"64,636",7.20%
Jul-23,"86,363","-26,947",-23.80%,"60,269",-7.70%
Jun-23,"113,310","10,772",10.50%,"65,265",3.20%
May-23,"102,538","-44,582",-30.30%,"63,263",-21.70%
Apr-23,"147,120","-11,473",-7.20%,"80,752",-6.50%
Mar-23,"158,593","-10,618",-6.30%,"86,351",-10.40%
Feb-23,"169,211","1,917",1.10%,"96,385",-4.60%
Jan-23,"167,294","-142,746",-46.00%,"101,024",-42.40%
Dec-22,"310,040","-181,630",-36.90%,"175,440",-22.50%
Nov-22,"491,670","228,496",86.80%,"226,258",120.20%
Oct-22,"263,174",-,-,"102,767",-
