month,peak,gain,%gain,average,average % gain
Last 30 days,"1,516,347","10,928",0.70%,"942,859",0.80%
Aug-25,"1,505,419","71,593",5.00%,"935,289",1.40%
Jul-25,"1,433,826","-298,253",-17.20%,"922,445",-8.60%
Jun-25,"1,732,079","9,778",0.60%,"1,009,510",-3.20%
May-25,"1,722,301","-140,230",-7.50%,"1,042,847",-0.90%
Apr-25,"1,862,531","37,542",2.10%,"1,051,917",1.00%
Mar-25,"1,824,989","35,615",2.00%,"1,041,505",3.20%
Feb-25,"1,789,374","184,733",11.50%,"1,008,724",10.00%
Jan-25,"1,604,641","-135,620",-7.80%,"917,201",0.40%
Dec-24,"1,740,261","178,055",11.40%,"913,332",6.70%
Nov-24,"1,562,206","63,545",4.20%,"855,994",3.20%
Oct-24,"1,498,661","16,132",1.10%,"829,556",-0.20%
Sep-24,"1,482,529","56,051",3.90%,"831,476",-7.40%
Aug-24,"1,426,478","78,976",5.90%,"898,004",2.50%
Jul-24,"1,347,502","-178,394",-11.70%,"876,480",-6.80%
Jun-24,"1,525,896","-105,720",-6.50%,"940,002",-1.90%
May-24,"1,631,616","12,931",0.80%,"958,651",2.60%
Apr-24,"1,618,685","93,616",6.10%,"934,226",5.00%
Mar-24,"1,525,069","121,819",8.70%,"889,929",11.70%
Feb-24,"1,403,250","90,828",6.90%,"796,735",5.40%
Jan-24,"1,312,422","57,250",4.60%,"755,717",-2.40%
Dec-23,"1,255,172","91,784",7.90%,"774,082",8.50%
Nov-23,"1,163,388","-229,100",-16.50%,"713,452",-9.20%
Oct-23,"1,392,488","-167,947",-10.80%,"786,087",-19.50%
Sep-23,"1,560,435","20,931",1.40%,"975,918",5.00%
Aug-23,"1,539,504","312,977",25.50%,"929,167",5.80%
Jul-23,"1,226,527","-447,190",-26.70%,"878,184",-19.00%
Jun-23,"1,673,717","-145,056",-8.00%,"1,084,316",-2.60%
May-23,"1,818,773","304,363",20.10%,"1,113,201",20.80%
Apr-23,"1,514,410","-5,047",-0.30%,"921,226",8.10%
Mar-23,"1,519,457","163,660",12.10%,"851,953",6.00%
Feb-23,"1,355,797","155,720",13.00%,"803,935",10.50%
Jan-23,"1,200,077","132,750",12.40%,"727,329",15.10%
Dec-22,"1,067,327","-65,625",-5.80%,"631,654",1.60%
Nov-22,"1,132,952","42,094",3.90%,"621,939",2.90%
Oct-22,"1,090,858","-12,365",-1.10%,"604,549",-
Sep-22,"1,103,223","63,334",6.10%,-,-
Aug-22,"1,039,889","111,560",12.00%,-,-
Jul-22,"928,329","21,361",2.40%,-,-
Jun-22,"906,968","-25,713",-2.80%,-,-
May-22,"932,681","-84,081",-8.30%,-,-
Apr-22,"1,016,762","22,954",2.30%,-,-
Mar-22,"993,808","-3,922",-0.40%,-,-
Feb-22,"997,730","5,275",0.50%,-,-
Jan-22,"992,455","41,869",4.40%,-,-
Dec-21,"950,586","6,256",0.70%,-,-
Nov-21,"944,330","78,300",9.00%,-,-
Oct-21,"866,030","-83,787",-8.80%,-,-
Sep-21,"949,817","145,684",18.10%,-,-
Aug-21,"804,133","37,623",4.90%,-,-
Jul-21,"766,510","-163,430",-17.60%,-,-
Jun-21,"929,940","-158,228",-14.50%,-,-
May-21,"1,088,168","-62,814",-5.50%,-,-
Apr-21,"1,150,982","-51,011",-4.20%,-,-
Mar-21,"1,201,993","76,155",6.80%,-,-
Feb-21,"1,125,838",427,0.00%,-,-
Jan-21,"1,125,411","-44,250",-3.80%,-,-
Dec-20,"1,169,661","129,610",12.50%,-,-
Nov-20,"1,040,051","88,303",9.30%,-,-
Oct-20,"951,748","-29,131",-3.00%,-,-
Sep-20,"980,879","48,596",5.20%,-,-
Aug-20,"932,283","70,335",8.20%,-,-
Jul-20,"861,948","-95,688",-10.00%,-,-
Jun-20,"957,636","-221,475",-18.80%,-,-
May-20,"1,179,111","-129,852",-9.90%,-,-
Apr-20,"1,308,963","82,239",6.70%,-,-
Mar-20,"1,226,724","292,976",31.40%,-,-
Feb-20,"933,748","111,258",13.50%,-,-
Jan-20,"822,490","50,850",6.60%,-,-
Dec-19,"771,640","7,202",0.90%,-,-
Nov-19,"764,438","9,529",1.30%,-,-
Oct-19,"754,909","31,209",4.30%,-,-
Sep-19,"723,700","64,505",9.80%,-,-
Aug-19,"659,195","79,499",13.70%,-,-
Jul-19,"579,696","-12,143",-2.10%,-,-
Jun-19,"591,839","-1,009",-0.20%,-,-
May-19,"592,848","-30,004",-4.80%,-,-
Apr-19,"622,852","-61,100",-8.90%,-,-
Mar-19,"683,952","27,855",4.20%,-,-
Feb-19,"656,097","-31,202",-4.50%,-,-
Jan-19,"687,299","-62,339",-8.30%,-,-
Dec-18,"749,638","203,446",37.20%,-,-
Nov-18,"546,192","-21,724",-3.80%,-,-
Oct-18,"567,916","-19,723",-3.40%,-,-
Sep-18,"587,639","130,732",28.60%,-,-
Aug-18,"456,907","27,257",6.30%,-,-
Jul-18,"429,650","7,340",1.70%,-,-
Jun-18,"422,310","-32,126",-7.10%,-,-
May-18,"454,436","-69,391",-13.20%,-,-
Apr-18,"523,827","-150,635",-22.30%,-,-
Mar-18,"674,462","-16,734",-2.40%,-,-
Feb-18,"691,196","-28,102",-3.90%,-,-
Jan-18,"719,298","117,947",19.60%,-,-
Dec-17,"601,351","-1,446",-0.20%,-,-
Nov-17,"602,797","-41,285",-6.40%,-,-
Oct-17,"644,082","-37,331",-5.50%,-,-
Sep-17,"681,413","82,757",13.80%,-,-
Aug-17,"598,656","-41,621",-6.50%,-,-
Jul-17,"640,277","25,656",4.20%,-,-
Jun-17,"614,621","-82,568",-11.80%,-,-
May-17,"697,189","1,954",0.30%,-,-
Apr-17,"695,235","-47,121",-6.30%,-,-
Mar-17,"742,356","-2,112",-0.30%,-,-
Feb-17,"744,468","-70,148",-8.60%,-,-
Jan-17,"814,616","152,156",23.00%,-,-
Dec-16,"662,460","35,336",5.60%,-,-
Nov-16,"627,124","-34,861",-5.30%,-,-
Oct-16,"661,985","23,625",3.70%,-,-
Sep-16,"638,360","39,265",6.60%,-,-
Aug-16,"599,095","-36,961",-5.80%,-,-
Jul-16,"636,056","56,946",9.80%,-,-
Jun-16,"579,110","-58,978",-9.20%,-,-
May-16,"638,088","-212,397",-25.00%,-,-
Apr-16,"850,485","49,616",6.20%,-,-
Mar-16,"800,869","61,900",8.40%,-,-
Feb-16,"738,969","71,537",10.70%,-,-
Jan-16,"667,432","-156,262",-19.00%,-,-
Dec-15,"823,694","131,764",19.00%,-,-
Nov-15,"691,930","-94,777",-12.00%,-,-
Oct-15,"786,707","60,768",8.40%,-,-
Sep-15,"725,939","-93,963",-11.50%,-,-
Aug-15,"819,902","273,760",50.10%,-,-
Jul-15,"546,142","-65,142",-10.70%,-,-
Jun-15,"611,284","-69,886",-10.30%,-,-
May-15,"681,170","111,322",19.50%,-,-
Apr-15,"569,848","1,292",0.20%,-,-
Mar-15,"568,556","-26,883",-4.50%,-,-
Feb-15,"595,439","139,931",30.70%,-,-
Jan-15,"455,508","12,320",2.80%,-,-
Dec-14,"443,188","75,554",20.60%,-,-
Nov-14,"367,634","19,616",5.60%,-,-
Oct-14,"348,018","87,405",33.50%,-,-
Sep-14,"260,613","-14,401",-5.20%,-,-
Aug-14,"275,014","-2,178",-0.80%,-,-
Jul-14,"277,192","83,176",42.90%,-,-
Jun-14,"194,016","20,387",11.70%,-,-
May-14,"173,629","3,492",2.10%,-,-
Apr-14,"170,137","5,356",3.30%,-,-
Mar-14,"164,781",286,0.20%,-,-
Feb-14,"164,495","44,731",37.30%,-,-
Jan-14,"119,764","17,680",17.30%,-,-
Dec-13,"102,084","5,786",6.00%,-,-
Nov-13,"96,298","4,019",4.40%,-,-
Oct-13,"92,279","39,016",73.30%,-,-
Sep-13,"53,263","1,211",2.30%,-,-
Aug-13,"52,052","1,541",3.10%,-,-
Jul-13,"50,511","8,362",19.80%,-,-
Jun-13,"42,149","-11,232",-21.00%,-,-
May-13,"53,381",2,0.00%,-,-
Apr-13,"53,379","20,965",64.70%,-,-
Mar-13,"32,414","-3,183",-8.90%,-,-
Feb-13,"35,597",359,1.00%,-,-
Jan-13,"35,238","3,879",12.40%,-,-
Dec-12,"31,359","-19,174",-37.90%,-,-
Nov-12,"50,533",0,0.00%,-,-
Oct-12,"50,533","13,663",37.10%,-,-
Sep-12,"36,870","-15,726",-29.90%,-,-
Aug-12,"52,596",335,0.60%,-,-
Jul-12,"52,261","49,529",1812.90%,-,-
Jun-12,"2,732",-187,-6.40%,-,-
May-12,"2,919","1,020",53.70%,-,-
Apr-12,"1,899",636,50.40%,-,-
Mar-12,"1,263","1,059",519.10%,-,-
Feb-12,204,-476,-70.00%,-,-
Nov-11,680,-,-,-,-
