month,peak,gain,%gain,average,average % gain
Last 30 days,561,4,0.70%,328,-0.60%
Aug-25,557,-31,-5.30%,330,-4.90%
Jul-25,588,29,5.20%,347,9.10%
Jun-25,559,-21,-3.60%,318,-1.90%
May-25,580,-36,-5.80%,324,-3.30%
Apr-25,616,-28,-4.30%,335,-6.40%
Mar-25,644,2,0.30%,358,2.90%
Feb-25,642,-31,-4.60%,348,-9.60%
Jan-25,673,-74,-9.90%,385,1.30%
Dec-24,747,110,17.30%,380,15.50%
Nov-24,637,46,7.80%,329,3.80%
Oct-24,591,39,7.10%,317,2.90%
Sep-24,552,17,3.20%,308,-1.30%
Aug-24,535,-64,-10.70%,312,-10.10%
Jul-24,599,15,2.60%,347,16.40%
Jun-24,584,79,15.60%,298,2.80%
May-24,505,-35,-6.50%,290,-6.10%
Apr-24,540,-66,-10.90%,309,-8.30%
Mar-24,606,40,7.10%,337,2.70%
Feb-24,566,-51,-8.30%,328,-5.70%
Jan-24,617,-21,-3.30%,348,4.50%
Dec-23,638,60,10.40%,333,17.30%
Nov-23,578,-23,-3.80%,284,-19.30%
Oct-23,601,-29,-4.60%,352,-1.40%
Sep-23,630,109,20.90%,357,11.60%
Aug-23,521,-100,-16.10%,320,-12.10%
Jul-23,621,-27,-4.20%,364,13.00%
Jun-23,648,92,16.50%,322,-1.80%
May-23,556,-112,-16.80%,328,-11.40%
Apr-23,668,-40,-5.60%,370,-9.80%
Mar-23,708,73,11.50%,410,6.80%
Feb-23,635,-84,-11.70%,384,-10.10%
Jan-23,719,1,0.10%,427,2.60%
Dec-22,718,-17,-2.30%,416,14.30%
Nov-22,735,208,39.50%,364,16.70%
Oct-22,527,32,6.50%,312,-
Sep-22,495,4,0.80%,-,-
Aug-22,491,-34,-6.50%,-,-
Jul-22,525,-17,-3.10%,-,-
Jun-22,542,18,3.40%,-,-
May-22,524,-60,-10.30%,-,-
Apr-22,584,-29,-4.70%,-,-
Mar-22,613,-64,-9.50%,-,-
Feb-22,677,-20,-2.90%,-,-
Jan-22,697,11,1.60%,-,-
Dec-21,686,46,7.20%,-,-
Nov-21,640,53,9.00%,-,-
Oct-21,587,5,0.90%,-,-
Sep-21,582,-1,-0.20%,-,-
Aug-21,583,-66,-10.20%,-,-
Jul-21,649,-34,-5.00%,-,-
Jun-21,683,-69,-9.20%,-,-
May-21,752,-24,-3.10%,-,-
Apr-21,776,-30,-3.70%,-,-
Mar-21,806,-46,-5.40%,-,-
Feb-21,852,-95,-10.00%,-,-
Jan-21,947,39,4.30%,-,-
Dec-20,908,64,7.60%,-,-
Nov-20,844,118,16.30%,-,-
Oct-20,726,32,4.60%,-,-
Sep-20,694,-46,-6.20%,-,-
Aug-20,740,-181,-19.70%,-,-
Jul-20,921,-8,-0.90%,-,-
Jun-20,929,-429,-31.60%,-,-
May-20,"1,358",-173,-11.30%,-,-
Apr-20,"1,531",-45,-2.90%,-,-
Mar-20,"1,576",847,116.20%,-,-
Feb-20,729,-62,-7.80%,-,-
Jan-20,791,-28,-3.40%,-,-
Dec-19,819,73,9.80%,-,-
Nov-19,746,37,5.20%,-,-
Oct-19,709,13,1.90%,-,-
Sep-19,696,15,2.20%,-,-
Aug-19,681,-86,-11.20%,-,-
Jul-19,767,-26,-3.30%,-,-
Jun-19,793,-18,-2.20%,-,-
May-19,811,-34,-4.00%,-,-
Apr-19,845,-60,-6.60%,-,-
Mar-19,905,-64,-6.60%,-,-
Feb-19,969,-44,-4.30%,-,-
Jan-19,"1,013",-48,-4.50%,-,-
Dec-18,"1,061",-8,-0.70%,-,-
Nov-18,"1,069",209,24.30%,-,-
Oct-18,860,20,2.40%,-,-
Sep-18,840,-18,-2.10%,-,-
Aug-18,858,-127,-12.90%,-,-
Jul-18,985,-77,-7.30%,-,-
Jun-18,"1,062",128,13.70%,-,-
May-18,934,-65,-6.50%,-,-
Apr-18,999,-188,-15.80%,-,-
Mar-18,"1,187",-183,-13.40%,-,-
Feb-18,"1,370",-24,-1.70%,-,-
Jan-18,"1,394",-46,-3.20%,-,-
Dec-17,"1,440",22,1.60%,-,-
Nov-17,"1,418",374,35.80%,-,-
Oct-17,"1,044",32,3.20%,-,-
Sep-17,"1,012",0,0.00%,-,-
Aug-17,"1,012",-78,-7.20%,-,-
Jul-17,"1,090",25,2.30%,-,-
Jun-17,"1,065",6,0.60%,-,-
May-17,"1,059",-19,-1.80%,-,-
Apr-17,"1,078",-191,-15.10%,-,-
Mar-17,"1,269",22,1.80%,-,-
Feb-17,"1,247",-140,-10.10%,-,-
Jan-17,"1,387",30,2.20%,-,-
Dec-16,"1,357",56,4.30%,-,-
Nov-16,"1,301",177,15.70%,-,-
Oct-16,"1,124",73,6.90%,-,-
Sep-16,"1,051",63,6.40%,-,-
Aug-16,988,-82,-7.70%,-,-
Jul-16,"1,070",-126,-10.50%,-,-
Jun-16,"1,196",10,0.80%,-,-
May-16,"1,186",-20,-1.70%,-,-
Apr-16,"1,206",-177,-12.80%,-,-
Mar-16,"1,383",-177,-11.30%,-,-
Feb-16,"1,560",60,4.00%,-,-
Jan-16,"1,500",106,7.60%,-,-
