month,peak,gain,%gain,average,average % gain
Last 30 days,"63,971","1,073",1.70%,"40,782",1.50%
Aug-25,"62,898","5,911",10.40%,"40,198",67.20%
Jul-25,"56,987","38,783",213.00%,"24,047",115.40%
Jun-25,"18,204","4,549",33.30%,"11,163",46.00%
May-25,"13,655","-3,518",-20.50%,"7,644",-6.70%
Apr-25,"17,173","-2,987",-14.80%,"8,189",-34.80%
Mar-25,"20,160","2,234",12.50%,"12,566",25.10%
Feb-25,"17,926",189,1.10%,"10,041",-3.10%
Jan-25,"17,737","1,063",6.40%,"10,364",11.30%
Dec-24,"16,674","3,755",29.10%,"9,309",23.50%
Nov-24,"12,919",-196,-1.50%,"7,539",-1.70%
Oct-24,"13,115","-2,103",-13.80%,"7,670",-7.70%
Sep-24,"15,218","-3,768",-19.80%,"8,312",-17.90%
Aug-24,"18,986","1,005",5.60%,"10,120",-0.90%
Jul-24,"17,981","2,903",19.30%,"10,216",21.70%
Jun-24,"15,078","1,521",11.20%,"8,397",-7.80%
May-24,"13,557",-685,-4.80%,"9,106",14.30%
Apr-24,"14,242","1,179",9.00%,"7,964",12.80%
Mar-24,"13,063",-8,-0.10%,"7,062",40.30%
Feb-24,"13,071","7,036",116.60%,"5,035",52.10%
Jan-24,"6,035",62,1.00%,"3,310",1.00%
Dec-23,"5,973",-88,-1.50%,"3,276",6.20%
Nov-23,"6,061",566,10.30%,"3,084",2.30%
Oct-23,"5,495",24,0.40%,"3,016",9.20%
Sep-23,"5,471",976,21.70%,"2,763",4.10%
Aug-23,"4,495",-830,-15.60%,"2,653",-9.20%
Jul-23,"5,325",286,5.70%,"2,921",11.40%
Jun-23,"5,039",91,1.80%,"2,622",2.10%
May-23,"4,948",-550,-10.00%,"2,568",-10.60%
Apr-23,"5,498",-733,-11.80%,"2,874",-8.50%
Mar-23,"6,231",700,12.70%,"3,142",3.90%
Feb-23,"5,531",-709,-11.40%,"3,024",-9.50%
Jan-23,"6,240",192,3.20%,"3,340",1.60%
Dec-22,"6,048",-369,-5.80%,"3,287",4.80%
Nov-22,"6,417","1,021",18.90%,"3,136",4.10%
Oct-22,"5,396","-1,565",-22.50%,"3,013",-
Sep-22,"6,961",-66,-0.90%,-,-
Aug-22,"7,027",-486,-6.50%,-,-
Jul-22,"7,513",164,2.20%,-,-
Jun-22,"7,349",-142,-1.90%,-,-
May-22,"7,491","-1,003",-11.80%,-,-
Apr-22,"8,494",125,1.50%,-,-
Mar-22,"8,369",-538,-6.00%,-,-
Feb-22,"8,907",789,9.70%,-,-
Jan-22,"8,118","1,414",21.10%,-,-
Dec-21,"6,704",532,8.60%,-,-
Nov-21,"6,172",449,7.80%,-,-
Oct-21,"5,723",74,1.30%,-,-
Sep-21,"5,649",312,5.80%,-,-
Aug-21,"5,337",-634,-10.60%,-,-
Jul-21,"5,971",-52,-0.90%,-,-
Jun-21,"6,023","-1,024",-14.50%,-,-
May-21,"7,047","-1,690",-19.30%,-,-
Apr-21,"8,737",-258,-2.90%,-,-
Mar-21,"8,995","1,385",18.20%,-,-
Feb-21,"7,610",-682,-8.20%,-,-
Jan-21,"8,292",172,2.10%,-,-
Dec-20,"8,120",810,11.10%,-,-
Nov-20,"7,310",694,10.50%,-,-
Oct-20,"6,616",729,12.40%,-,-
Sep-20,"5,887",-399,-6.30%,-,-
Aug-20,"6,286",-504,-7.40%,-,-
Jul-20,"6,790",-566,-7.70%,-,-
Jun-20,"7,356","-2,378",-24.40%,-,-
May-20,"9,734","-1,902",-16.30%,-,-
Apr-20,"11,636",688,6.30%,-,-
Mar-20,"10,948","3,952",56.50%,-,-
Feb-20,"6,996",-910,-11.50%,-,-
Jan-20,"7,906",-34,-0.40%,-,-
Dec-19,"7,940",556,7.50%,-,-
Nov-19,"7,384","1,188",19.20%,-,-
Oct-19,"6,196",-102,-1.60%,-,-
Sep-19,"6,298",253,4.20%,-,-
Aug-19,"6,045",-927,-13.30%,-,-
Jul-19,"6,972",182,2.70%,-,-
Jun-19,"6,790",198,3.00%,-,-
May-19,"6,592",-231,-3.40%,-,-
Apr-19,"6,823",-707,-9.40%,-,-
Mar-19,"7,530",-637,-7.80%,-,-
Feb-19,"8,167",-632,-7.20%,-,-
Jan-19,"8,799",28,0.30%,-,-
Dec-18,"8,771",390,4.70%,-,-
Nov-18,"8,381","1,227",17.20%,-,-
Oct-18,"7,154",350,5.10%,-,-
Sep-18,"6,804",-41,-0.60%,-,-
Aug-18,"6,845",131,2.00%,-,-
Jul-18,"6,714",-467,-6.50%,-,-
Jun-18,"7,181",27,0.40%,-,-
May-18,"7,154","-1,332",-15.70%,-,-
Apr-18,"8,486",-881,-9.40%,-,-
Mar-18,"9,367",-458,-4.70%,-,-
Feb-18,"9,825",-637,-6.10%,-,-
Jan-18,"10,462",544,5.50%,-,-
Dec-17,"9,918",755,8.20%,-,-
Nov-17,"9,163",345,3.90%,-,-
Oct-17,"8,818",530,6.40%,-,-
Sep-17,"8,288",377,4.80%,-,-
Aug-17,"7,911",-711,-8.20%,-,-
Jul-17,"8,622",24,0.30%,-,-
Jun-17,"8,598",-334,-3.70%,-,-
May-17,"8,932",-561,-5.90%,-,-
Apr-17,"9,493","-1,209",-11.30%,-,-
Mar-17,"10,702",-855,-7.40%,-,-
Feb-17,"11,557",-914,-7.30%,-,-
Jan-17,"12,471",971,8.40%,-,-
Dec-16,"11,500",289,2.60%,-,-
Nov-16,"11,211",708,6.70%,-,-
Oct-16,"10,503",420,4.20%,-,-
Sep-16,"10,083",255,2.60%,-,-
Aug-16,"9,828",-303,-3.00%,-,-
Jul-16,"10,131",-734,-6.80%,-,-
Jun-16,"10,865",-347,-3.10%,-,-
May-16,"11,212","-1,562",-12.20%,-,-
Apr-16,"12,774","-2,072",-14.00%,-,-
Mar-16,"14,846",-781,-5.00%,-,-
Feb-16,"15,627",-515,-3.20%,-,-
Jan-16,"16,142","1,282",8.60%,-,-
Dec-15,"14,860",560,3.90%,-,-
Nov-15,"14,300",340,2.40%,-,-
Oct-15,"13,960",407,3.00%,-,-
Sep-15,"13,553",-41,-0.30%,-,-
Aug-15,"13,594",-276,-2.00%,-,-
Jul-15,"13,870","-1,026",-6.90%,-,-
Jun-15,"14,896","-1,308",-8.10%,-,-
May-15,"16,204",21,0.10%,-,-
Apr-15,"16,183","-1,589",-8.90%,-,-
Mar-15,"17,772","-3,965",-18.20%,-,-
Feb-15,"21,737","-2,880",-11.70%,-,-
Jan-15,"24,617",98,0.40%,-,-
Dec-14,"24,519","1,026",4.40%,-,-
Nov-14,"23,493","1,815",8.40%,-,-
Oct-14,"21,678",543,2.60%,-,-
Sep-14,"21,135",-284,-1.30%,-,-
Aug-14,"21,419",198,0.90%,-,-
Jul-14,"21,221","-2,674",-11.20%,-,-
Jun-14,"23,895",-692,-2.80%,-,-
May-14,"24,587","-1,465",-5.60%,-,-
Apr-14,"26,052","-1,737",-6.30%,-,-
Mar-14,"27,789","-3,062",-9.90%,-,-
Feb-14,"30,851","-5,036",-14.00%,-,-
Jan-14,"35,887",665,1.90%,-,-
Dec-13,"35,222","2,681",8.20%,-,-
Nov-13,"32,541",314,1.00%,-,-
Oct-13,"32,227",452,1.40%,-,-
Sep-13,"31,775",390,1.20%,-,-
Aug-13,"31,385","1,545",5.20%,-,-
Jul-13,"29,840","-1,782",-5.60%,-,-
Jun-13,"31,622","-1,194",-3.60%,-,-
May-13,"32,816","-5,810",-15.00%,-,-
Apr-13,"38,626","-5,408",-12.30%,-,-
Mar-13,"44,034",-574,-1.30%,-,-
Feb-13,"44,608","-3,517",-7.30%,-,-
Jan-13,"48,125",-333,-0.70%,-,-
Dec-12,"48,458","4,298",9.70%,-,-
Nov-12,"44,160",-985,-2.20%,-,-
Oct-12,"45,145","1,221",2.80%,-,-
Sep-12,"43,924","-4,300",-8.90%,-,-
Aug-12,"48,224",-626,-1.30%,-,-
Jul-12,"48,850","-4,634",-8.70%,-,-
Jun-12,"53,484","-3,109",-5.50%,-,-
May-12,"56,593","-4,780",-7.80%,-,-
Apr-12,"61,373","-2,625",-4.10%,-,-
Mar-12,"63,998","-1,030",-1.60%,-,-
Feb-12,"65,028","-2,207",-3.30%,-,-
Jan-12,"67,235","4,430",7.10%,-,-
Dec-11,"62,805","5,113",8.90%,-,-
Nov-11,"57,692","-4,509",-7.20%,-,-
Oct-11,"62,201",-321,-0.50%,-,-
Sep-11,"62,522","-1,121",-1.80%,-,-
Aug-11,"63,643","6,028",10.50%,-,-
Jul-11,"57,615","-9,704",-14.40%,-,-
Jun-11,"67,319","-1,080",-1.60%,-,-
May-11,"68,399","-4,533",-6.20%,-,-
Apr-11,"72,932","-5,775",-7.30%,-,-
Mar-11,"78,707","-4,292",-5.20%,-,-
Feb-11,"82,999","-4,341",-5.00%,-,-
Jan-11,"87,340","5,799",7.10%,-,-
Dec-10,"81,541","1,267",1.60%,-,-
Nov-10,"80,274","5,492",7.30%,-,-
Oct-10,"74,782",172,0.20%,-,-
Sep-10,"74,610","4,353",6.20%,-,-
Aug-10,"70,257","5,602",8.70%,-,-
Jul-10,"64,655","-15,983",-19.80%,-,-
Jun-10,"80,638","-4,296",-5.10%,-,-
May-10,"84,934","-1,273",-1.50%,-,-
Apr-10,"86,207","-5,472",-6.00%,-,-
Mar-10,"91,679","14,935",19.50%,-,-
Feb-10,"76,744","-12,726",-14.20%,-,-
Jan-10,"89,470","7,023",8.50%,-,-
Dec-09,"82,447","35,563",75.90%,-,-
Nov-09,"46,884","-38,263",-44.90%,-,-
Oct-09,"85,147","4,466",5.50%,-,-
Sep-09,"80,681","-8,805",-9.80%,-,-
Aug-09,"89,486","21,408",31.40%,-,-
Jul-09,"68,078","-18,296",-21.20%,-,-
Jun-09,"86,374","7,911",10.10%,-,-
May-09,"78,463","17,959",29.70%,-,-
Apr-09,"60,504","-34,741",-36.50%,-,-
Mar-09,"95,245","-4,811",-4.80%,-,-
Feb-09,"100,056","40,800",68.90%,-,-
Jan-09,"59,256","-8,552",-12.60%,-,-
Dec-08,"67,808","8,609",14.50%,-,-
Nov-08,"59,199","-28,701",-32.70%,-,-
Oct-08,"87,900","5,068",6.10%,-,-
Sep-08,"82,832","-13,966",-14.40%,-,-
Jan-08,"96,798","21,907",29.30%,-,-
Dec-07,"74,891","46,198",161.00%,-,-
Nov-07,"28,693","-54,449",-65.50%,-,-
Oct-07,"83,142","-5,324",-6.00%,-,-
Sep-07,"88,466","11,245",14.60%,-,-
Aug-07,"77,221","3,545",4.80%,-,-
Jul-07,"73,676","-11,526",-13.50%,-,-
Jun-07,"85,202","31,894",59.80%,-,-
May-07,"53,308","12,664",31.20%,-,-
Apr-07,"40,644","10,505",34.90%,-,-
Mar-07,"30,139","-41,217",-57.80%,-,-
Feb-07,"71,356","-3,543",-4.70%,-,-
Jan-07,"74,899","17,963",31.50%,-,-
Dec-06,"56,936","42,111",284.10%,-,-
Nov-06,"14,825","-36,800",-71.30%,-,-
Aug-06,"51,625","-7,698",-13.00%,-,-
Dec-05,"59,323","41,182",227.00%,-,-
Nov-05,"18,141","-29,377",-61.80%,-,-
Sep-05,"47,518","-3,641",-7.10%,-,-
Aug-05,"51,159","21,214",70.80%,-,-
Jul-05,"29,945","7,211",31.70%,-,-
Jun-05,"22,734","-8,003",-26.00%,-,-
May-05,"30,737","-12,868",-29.50%,-,-
Apr-05,"43,605","4,373",11.10%,-,-
Mar-05,"39,232","8,930",29.50%,-,-
Feb-05,"30,302","2,072",7.30%,-,-
Jan-05,"28,230","-21,338",-43.00%,-,-
Dec-04,"49,568","33,114",201.30%,-,-
Nov-04,"16,454","7,006",74.20%,-,-
Oct-04,"9,448",-,-,-,-
