Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Aug-25,2,1,100%,27,1,-,-,3,193
Jul-25,1,-1,-50%,17,1,-,-,3,248
Jun-25,2,-3,-60%,71,1,-,-,2,317
May-25,5,4,400%,180,1,-,-,3,647
Apr-25,1,-2,-66.70%,32,1,-,-,2,172
Mar-25,3,1,50%,199,1,-,-,3,317
Feb-25,2,-3,-60%,19,1,-,-,2,149
Jan-25,5,-15,-75%,185,1,-,-,2,646
Dec-24,20,17,567%,"5,170",1,-,-,3,2.3K
Nov-24,3,-4,-57.10%,198,1,-,-,4,1.1K
Oct-24,7,5,250%,263,1,-,-,3,640
Sep-24,2,-,-,69,1,-,-,3,319
Aug-24,2,-5,-71.40%,66,1,-,-,2,177
Jul-24,7,-19,-73.10%,"1,150",1,-,-,4,2.7K
Jun-24,26,21,420%,"6,824",1,-,-,3,3.1K
May-24,5,-23,-82.10%,272,1,-,-,2,734
Apr-24,28,10,55.60%,"2,425",1,-,-,3,1.8K
Mar-24,18,2,12.50%,"2,527",1,-,-,2,687
Feb-24,16,13,433%,"2,179",1,-,-,5,2.4K
Jan-24,3,1,50%,133,1,-,-,3,416
Dec-23,2,-9,-81.80%,50,1,-,-,3,301
Nov-23,11,7,175%,405,1,-,-,3,2.4K
Oct-23,4,-1,-20%,59,1,-,-,3,481
Sep-23,5,3,150%,273,1,-,-,3,584
Aug-23,2,-16,-88.90%,110,1,-,-,4,340
Jul-23,18,11,157%,"1,390",1,-,-,3,2.9K
Jun-23,7,-1,-12.50%,676,1,-,-,3,1.9K
May-23,8,6,300%,441,1,-,-,3,569
Apr-23,2,-,-,80,1,-,-,3,530
Mar-23,2,-,-,66,1,-,-,4,536
Feb-23,2,-1,-33.30%,30,1,-,-,3,412
Jan-23,3,1,50%,45,1,-,-,4,319
Dec-22,2,-1,-33.30%,33,1,-,-,3,253
Nov-22,3,-,-,289,1,-,-,3,329
Oct-22,3,-1,-25%,124,1,-,-,3,280
Sep-22,4,2,100%,120,1,-,-,2,411
Aug-22,2,-10,-83.30%,28,1,-,-,3,228
Jul-22,12,10,500%,621,1,-,-,2,2.2K
Jun-22,2,-,-,39,1,-,-,2,318
May-22,2,-5,-71.40%,178,1,-,-,4,485
Apr-22,7,6,600%,332,1,-,-,4,1.1K
Mar-22,1,-27,-96.40%,74,1,-,-,5,868
Feb-22,28,26,+1.3K%,"2,210",1,-,-,6,3.0K
Jan-22,2,-2,-50%,114,1,-,-,5,588
Dec-21,4,1,33.30%,254,1,-,-,6,1.5K
Nov-21,3,1,50%,128,1,-,-,4,784
Oct-21,2,-1,-33.30%,26,1,-,-,5,558
Sep-21,3,-4,-57.10%,33,1,-,-,4,449
Aug-21,7,4,133%,411,1,-,-,4,1.1K
Jul-21,3,-13,-81.30%,89,1,-,-,4,452
Jun-21,16,11,220%,745,1,-,-,4,3.4K
May-21,5,1,25%,48,1,-,-,4,1.1K
Apr-21,4,-,-,36,1,-,-,3,604
Mar-21,4,1,33.30%,963,1,-,-,4,623
Feb-21,3,-1,-25%,116,1,-,-,4,602
Jan-21,4,-,-,238,1,-,-,4,765
Dec-20,4,-,-,52,1,-,-,3,754
Nov-20,4,-2,-33.30%,335,1,-,-,3,522
Oct-20,6,2,50%,370,1,-,-,4,698
Sep-20,4,2,100%,147,1,-,-,3,314
Aug-20,2,-4,-66.70%,27,1,-,-,5,570
Jul-20,6,-67,-91.80%,247,1,-,-,5,2.0K
Jun-20,73,64,711%,"3,735",1,-,-,4,15.6K
May-20,9,-6,-40%,783,1,-,-,5,2.6K
Apr-20,15,13,650%,640,1,-,-,6,5.3K
Mar-20,2,-,-,141,1,-,-,5,510
Feb-20,2,-,-,21,1,-,-,5,474
Jan-20,2,-4,-66.70%,555,1,-,-,4,458
Dec-19,6,2,50%,192,1,-,-,5,1.3K
Nov-19,4,1,33.30%,140,1,-,-,5,575
Oct-19,3,1,50%,159,1,-,-,3,558
Sep-19,2,-,-,30,1,-,-,3,355
Aug-19,2,-,-,170,1,-,-,4,365
Jul-19,2,-3,-60%,91,1,-,-,4,445
Jun-19,5,-27,-84.40%,581,1,-,-,4,888
May-19,32,26,433%,744,1,-,-,5,8.6K
Apr-19,6,-1,-14.30%,"1,319",1,-,-,4,1.6K
Mar-19,7,-9,-56.30%,324,1,-,-,4,694
Feb-19,16,14,700%,"1,339",1,-,-,5,3.0K
Jan-19,2,-1,-33.30%,22,1,-,-,3,299
Dec-18,3,1,50%,43,1,-,-,4,598
Nov-18,2,1,100%,82,1,-,-,3,224
Oct-18,1,-2,-66.70%,117,1,-,-,4,239
Sep-18,3,-27,-90%,48,1,-,-,4,303
Aug-18,30,29,+2.9K%,"2,501",1,1,-,3,3.4K
Jul-18,1,-2,-66.70%,16,0,-,-,2,155
Jun-18,3,-133,-97.80%,110,0,-1,-100%,3,443
May-18,136,133,+4.4K%,"15,731",1,-,-,3,20.5K
Apr-18,3,1,50%,49,1,-,-,2,163
Mar-18,2,-32,-94.10%,26,1,-,-,3,224
Feb-18,34,22,183%,585,1,-,-,3,519
Jan-18,12,-4,-25%,177,1,-,-,2,237
Dec-17,16,-69,-81.20%,172,1,-,-,4,473
Nov-17,85,75,750%,"3,393",1,-,-,3,2.0K
Oct-17,10,-73,-88%,103,1,-,-,3,260
Sep-17,83,76,+1.1K%,"1,196",1,-,-,3,958
Aug-17,7,-28,-80%,61,1,-,-,3,134
Jul-17,35,11,45.80%,517,1,-,-,3,451
Jun-17,24,10,71.40%,199,1,-,-,4,1.1K
May-17,14,-11,-44%,162,1,-,-,2,181
Apr-17,25,10,66.70%,175,1,-,-,4,383
Mar-17,15,11,275%,213,1,1,-,3,433
Feb-17,4,-14,-77.80%,108,0,-1,-100%,3,397
Jan-17,18,-1,-5.30%,215,1,-,-,3,357
Dec-16,19,4,26.70%,216,1,-,-,3,946
Nov-16,15,-,-,147,1,-,-,3,336
