Month,Avg Viewers,Gain,% Gain,Peak Viewers,Avg Streams,Gain,% Gain,Peak Streams,Hours Watched
Nov-16,18,-,-,164,2,-,,7,3.2K
Dec-16,20,2,11.10%,509,2,-,-,10,8.0K
Jan-17,19,-1,-5%,543,4,2,-,13,8.8K
Feb-17,30,11,57.90%,"5,782",2,-2,100%,11,16.0K
Mar-17,18,-12,-40%,815,2,-,-50%,10,6.9K
Apr-17,27,9,50%,175,3,1,-,14,14.2K
May-17,96,69,256%,"21,833",3,-,50%,10,52.6K
Jun-17,19,-77,-80.20%,"1,425",3,-,-,11,10.0K
Jul-17,34,15,78.90%,"2,345",3,-,-,10,16.2K
Aug-17,32,-2,-5.90%,534,3,-,-,12,13.3K
Sep-17,27,-5,-15.60%,"2,166",2,-1,-,10,9.7K
Oct-17,19,-8,-29.60%,270,3,1,-33.30%,10,7.2K
Nov-17,18,-1,-5.30%,576,4,1,50%,11,8.2K
Dec-17,33,15,83.30%,"15,634",4,-,33.30%,14,15.3K
Jan-18,30,-3,-9.10%,"1,671",5,1,-,18,14.9K
Feb-18,26,-4,-13.30%,477,6,1,25%,19,13.9K
Mar-18,24,-2,-7.70%,"2,272",4,-2,20%,16,14.7K
Apr-18,26,2,8.30%,"1,050",4,-,-33.30%,14,16.0K
May-18,41,15,57.70%,"8,924",4,-,-,17,25.8K
Jun-18,24,-17,-41.50%,"2,119",5,1,-,14,16.1K
Jul-18,33,9,37.50%,"6,793",5,-,25%,18,22.3K
Aug-18,33,-,-,"1,352",5,-,-,20,21.7K
Sep-18,34,1,3%,"3,555",5,-,-,21,23.2K
Oct-18,37,3,8.80%,"2,237",6,1,-,23,24.7K
Nov-18,51,14,37.80%,"1,509",7,1,20%,22,35.8K
Dec-18,98,47,92.20%,"5,888",9,2,16.70%,28,69.3K
Jan-19,69,-29,-29.60%,"1,599",9,-,28.60%,27,44.6K
Feb-19,71,2,2.90%,"3,188",8,-1,-,29,50.5K
Mar-19,62,-9,-12.70%,"4,877",7,-1,-11.10%,24,42.3K
Apr-19,56,-6,-9.70%,"1,737",6,-1,-12.50%,24,39.3K
May-19,79,23,41.10%,"3,913",6,-,-14.30%,20,52.3K
Jun-19,110,31,39.20%,"4,199",8,2,-,23,79.3K
Jul-19,83,-27,-24.50%,"6,244",10,2,33.30%,26,60.4K
Aug-19,66,-17,-20.50%,"1,504",8,-2,25%,23,46.1K
Sep-19,70,4,6.10%,"1,125",8,-,-20%,26,48.1K
Oct-19,100,30,42.90%,"2,927",10,2,-,28,67.8K
Nov-19,204,104,104%,"10,711",9,-1,25%,27,149K
Dec-19,150,-54,-26.50%,"3,822",12,3,-10%,33,110K
Jan-20,128,-22,-14.70%,"1,448",11,-1,33.30%,29,86.7K
Feb-20,161,33,25.80%,"14,964",12,1,-8.30%,37,118K
Mar-20,228,67,41.60%,"5,144",19,7,9.10%,46,159K
Apr-20,392,164,71.90%,"125,378",20,1,58.30%,43,285K
May-20,201,-191,-48.70%,"1,958",17,-3,5.30%,38,142K
Jun-20,197,-4,-2%,"8,873",17,-,-15%,40,144K
Jul-20,256,59,29.90%,"10,722",16,-1,-,43,189K
Aug-20,243,-13,-5.10%,"18,758",16,-,-5.90%,46,172K
Sep-20,180,-63,-25.90%,"26,156",25,9,-,58,133K
Oct-20,209,29,16.10%,"4,421",29,4,56.30%,69,149K
Nov-20,201,-8,-3.80%,"4,690",30,1,16%,68,147K
Dec-20,238,37,18.40%,"9,458",32,2,3.40%,76,175K
Jan-21,272,34,14.30%,"6,015",31,-1,6.70%,76,180K
Feb-21,169,-103,-37.90%,"6,559",29,-2,-3.10%,75,123K
Mar-21,215,46,27.20%,"9,106",29,-,-6.50%,71,153K
Apr-21,552,337,157%,"60,405",26,-3,-,62,406K
May-21,539,-13,-2.40%,"26,364",27,1,-10.30%,57,382K
Jun-21,171,-368,-68.30%,"4,394",30,3,3.80%,62,126K
Jul-21,186,15,8.80%,"7,587",24,-6,11.10%,59,136K
Aug-21,155,-31,-16.70%,"9,439",21,-3,-20%,54,109K
Sep-21,132,-23,-14.80%,"2,365",21,-,-12.50%,58,95.9K
Oct-21,146,14,10.60%,"35,555",23,2,-,54,103K
Nov-21,139,-7,-4.80%,"5,069",21,-2,9.50%,46,102K
Dec-21,160,21,15.10%,"4,004",22,1,-8.70%,52,117K
Jan-22,160,-,-,"14,559",20,-2,4.80%,52,105K
Feb-22,103,-57,-35.60%,"1,203",16,-4,-9.10%,38,75.0K
Mar-22,95,-8,-7.80%,"3,428",14,-2,-20%,41,68.5K
Apr-22,77,-18,-18.90%,"9,288",12,-2,-12.50%,33,57.8K
May-22,110,33,42.90%,"4,517",13,1,-14.30%,31,79.1K
Jun-22,108,-2,-1.80%,"3,926",13,-,8.30%,35,79.1K
Jul-22,141,33,30.60%,"7,893",14,1,-,32,105K
Aug-22,251,110,78%,"11,750",13,-1,7.70%,34,179K
Sep-22,134,-117,-46.60%,"12,262",12,-1,-7.10%,35,89.9K
Oct-22,122,-12,-9%,"2,978",12,-,-7.70%,39,88.0K
Nov-22,128,6,4.90%,"6,272",12,-,-,32,95.5K
Dec-22,146,18,14.10%,"3,934",14,2,-,36,108K
Jan-23,131,-15,-10.30%,"2,109",13,-1,16.70%,36,87.5K
Feb-23,139,8,6.10%,"7,415",13,-,-7.10%,38,103K
Mar-23,152,13,9.40%,"9,555",13,-,-,35,109K
Apr-23,146,-6,-3.90%,"5,348",13,-,-,33,109K
May-23,735,589,403%,"38,141",13,-,-,38,527K
Jun-23,143,-592,-80.50%,"4,285",14,1,-,36,106K
Jul-23,116,-27,-18.90%,"1,517",13,-1,7.70%,37,86.2K
Aug-23,87,-29,-25%,"4,205",13,-,-7.10%,605,62.5K
Sep-23,89,2,2.30%,"2,231",10,-3,-,30,66.1K
Oct-23,133,44,49.40%,"11,690",11,1,-23.10%,26,96.1K
Nov-23,107,-26,-19.50%,"6,777",11,-,10%,31,79.5K
